Search Term,Matched Food Name,Serving Qty,Serving Size,Calories,Total Fat,Saturated,Polyunsaturated,Monounsaturated,Trans,Cholesterol,Sodium,Potassium,Total Carbs,Dietary Fiber,Sugars,Protein,Vitamin A,Vitamin C,Calcium,Iron
Avial,Company's Coming Avial,1,0.5 cup cooked,160,6.8 g,--,--,--,--,--,--,--,--,3 g,--,4 g,--,--,--,--
Olan,Hayat Doğal Mineralli water Ambalajına göre değişiyor ( en kalorisi olan duffy duck),1,"1 ,33 l",1,0 g,0 g,0 g,0 g,0 g,0 mg,2.2 mg,0.2 mg,0 g,0 g,0 g,0 g,0 %,0 %,0 %,3 %
Kootu,kathrikkai puli kootu kathrikai puli kootu,1,1 cup,150,7 g,1 g,6 g,--,--,--,300 mg,400 mg,20 g,5 g,5 g,3 g,300 %,20 %,40 %,1 %
Pesarattu,Generic Pesarattu Onion,1,1 piece,173,1 g,--,--,--,--,--,543 mg,--,29 g,3 g,--,12 g,--,--,7.8 %,11 %
Adai,Homemade White Adai,1,"1 piece (1/10 of 1-layer, 8"" or 9"" dia)",120,6.8 g,1 g,2.8 g,2.7 g,--,0 mg,0 mg,12.1 mg,13.4 g,--,--,1.1 g,0 %,0 %,0 %,3.8 %
Pongal (sweet),triguni pongal,1,1 container,350,6.7 g,2.9 g,0.8 g,0 g,0 g,5.3 mg,360 mg,0 mg,17.6 g,1.5 g,0 g,3.3 g,0 %,0 %,0 %,0 %
Pulissery,Could not find matching food layout
Theeyal,Could not find matching food layout
Kadala Curry,Daily Delights Puttu With Kadala Curry (Brown),1,113.5 g,220,1 g,0 g,--,--,0 g,0 mg,230 mg,--,35 g,12 g,2 g,18 g,4 %,12 %,2 %,2 %
Appam with stew,Saravana Appam Batter,1,100 gram,176,0.7 g,0.2 g,--,--,--,--,136 mg,--,34.8 g,1.3 g,0.07 g,3.3 g,--,--,--,--
Vegetable Stew (Kerala),Kerala Curry Vegetable Biryani,1,1 cup,110,4 g,1.5 g,--,--,0 g,0 mg,370 mg,--,18 g,3 g,3 g,3 g,45 %,45 %,4 %,6 %
Patra,Saral Patra,1,100 grams,200,7 g,3 g,--,--,0 g,--,460 mg,180 mg,28 g,3 g,5 g,7 g,--,--,10 %,24 %
Muthiya,Talod Muthiya (Roll) Instant Mix,1,110 gram,393,1.87 g,0.42 g,1.03 g,0.42 g,0 g,0 mg,171.92 mg,10 mg,82.39 g,2.02 g,20.64 g,11.63 g,0 %,4 %,9 %,6 %
Khandvi,Could not find matching food layout
Sev Tameta,Mirch Masala Sev Sev,1,30 gms,170,12 g,--,--,--,--,--,--,--,13 g,--,--,3 g,--,--,--,--
Gujarati Kadhi,Ganesh Chutney Kadhi Mix Gujarati Curry,1,1 cup,130,5 g,2 g,--,--,--,0 mg,600 mg,--,16 g,5 g,8 g,5 g,--,--,4 %,4 %
Handvo (baked),Satvam Handvo,1,0.5 cup,333,1 g,--,--,--,--,--,"1,184 mg",--,71 g,4 g,2 g,10 g,--,4 %,5 %,9 %
Dal Dhokli,Gnx Dal_dal Dhokli,1,1 cup cooked,302,9 g,--,--,--,--,--,--,--,33 g,--,--,23 g,--,--,--,--
Khichu,Could not find matching food layout
Bajra Khichdi,Bajra roti Roti Bajra,1,100 gms,378,4.2 g,--,--,--,--,--,--,--,73 g,--,--,11 g,--,--,--,--
Rajasthani Gatte ki Sabzi,Homemade Ghiya Ki Sabzi,1,1 Cup,81,2.1 g,0.3 g,--,--,--,--,300 mg,--,14.6 g,2.4 g,1.7 g,2.1 g,4 %,43 %,7 %,7 %
Ker Sangri,Alpro Kers,1,100 gram,75,2 g,0.4 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,9.4 g,1 g,9.2 g,3.7 g,0 %,0 %,0 %,0 %
Papad ki Sabzi,Kohinoor Aloo Ki Sabzi,1,0.333 pack (100g),84,3 g,0 g,0 g,--,--,0 mg,261 mg,--,13 g,3 g,0 g,1 g,0 %,2 %,4 %,2 %
Tamatar Chutney curry,Aloo Tamatar Sabzi,1,0.5 cup,305,9.22 g,1.43 g,5.16 g,2.48 g,0 g,0 mg,798 mg,"1,163 mg",49.04 g,7.3 g,6.24 g,8.22 g,14 %,92 %,5 %,14 %
Aloo Pitika (Assam),Aloo Naan,1,1 piece,300,10.61 g,4.65 g,2.03 g,3.07 g,0.03 g,0.79 mg,369.56 mg,315.81 mg,45.53 g,8.72 g,4.24 g,6.13 g,4.98 %,54.02 %,2.79 %,10.26 %
Eromba (veg Manipuri),Health Binge Veg Veg and More Veg,1,1 meal,235,13 g,--,--,--,--,7 mg,170 mg,--,24 g,7 g,6 g,9 g,--,--,--,--
Bamboo shoot curry,Sour Bamboo Shoot Bamboo shoots,1,0.5 cup,15,0 g,0 g,0 g,0 g,0 g,10 mg,45 mg,0 mg,2 g,0 g,0 g,2 g,0 %,0 %,2 %,2 %
Black rice khichdi,Triple Diamond Khichdi Rice,1,100 gm,341,0.6 g,--,--,--,--,--,--,--,76 g,--,--,7.4 g,--,--,--,--
Thukpa (veg Indian version),soupy noodles Thukpa,1,60 gram,321,13.23 g,6.37 g,--,--,0 g,0 mg,352.4 mg,--,42.97 g,--,--,7.5 g,--,--,--,--
Momos chutney combo,Momo Chicken momo,1,1 container,336,7.92 g,--,--,--,--,--,"1,305 mg",--,28.68 g,--,--,34.65 g,--,--,--,--
Chowmein (Indian street),The Chopped Leaf Chowmein,1,1 Serving,140,1 g,0 g,--,--,0 g,--,210 mg,--,29 g,0 g,0 g,5 g,--,--,--,--
Veg Manchurian (gravy),China's Secret Veg Manchurian Miracle Masala,1,3 tsp,10,0 g,0 g,0 g,0 g,0 g,0 mg,275 mg,0 mg,2 g,0 g,0 g,0 g,0 %,0 %,0 %,0 %
Hakka Noodles,venus Hakka noodles,1,100 gram,445,5.5 g,0.1 g,0.2 g,0.1 g,0 g,84 mg,21 mg,0 mg,85 g,3 g,3 g,14 g,0 %,0 %,0 %,1.2 %
Khakhra,Khakhra Garlic khakhra,1,85 gm (1 piece),85,3 g,2 g,--,--,--,--,123 mg,--,11 g,2 g,1 g,2 g,--,--,--,--
Thepla chips,Greek Thepla,1,1 piece,299,15.8 g,2 g,--,--,--,--,611 mg,0.1 mg,35.2 g,7.3 g,--,7.5 g,4 %,17.8 %,9 %,2.5 %
Chakli / Murukku,Maiyas Chakli,1,100 gram,505,28.1 g,14.2 g,0 g,0 g,0 g,0 mg,613 mg,0 mg,56.3 g,0 g,0 g,6.6 g,0 %,0 %,0 %,0 %
Mathri,Haldiram's Mathri (Harneet),1,7 grams,38,2.4 g,0.46 g,--,--,0 g,0 mg,55 mg,--,4 g,0.09 g,0.14 g,0.28 g,--,--,--,--
Namak para,Delight Namak Para,1,40 g,100,1 g,0 g,--,--,0 g,0 mg,270 mg,--,4 g,1 g,0 g,3 g,--,--,--,8 %
Shakar para,A-one Shakar para gur,1,13 pieces/1oz,110,6 g,0.5 g,--,--,--,--,--,--,13 g,--,--,1 g,--,--,--,--
Sev,Reliance Sev,1,1 gram,569,37.97 g,--,--,--,--,--,--,--,42.94 g,--,0 g,13.96 g,--,--,--,--
Ratlami sev,Haldiram Ratlami Sev,1,35 gram,190,12 g,5 g,--,--,0 g,0 mg,250 mg,190.9 mg,16 g,3 g,1 g,4 g,3 %,--,3 %,7 %
Aloo bhujia,Haldirams Aloo Bhujia,1,1 cup (35 g),230,18 g,3.5 g,--,--,0 g,0 mg,230 mg,--,14 g,7 g,0 g,2 g,0 %,0 %,0 %,0 %
Mixture namkeen,protien chef mixture namkeen namkeen,1,1 gram,6,0.48 g,--,--,--,--,--,--,--,0.19 g,--,--,0.28 g,--,--,--,--
Chivda,shah chivda,1,100 gram,346,1.2 g,0.45 g,--,--,0 g,0 mg,10.9 mg,154 mg,77.3 g,0.71 g,1.5 g,6.6 g,--,--,20 %,20 %
Poha chivda,Sabudana chivda sabudana chivda,1,28 gram,151,8 g,3 g,--,--,--,--,41 mg,31 mg,18 g,1 g,3 g,4 g,--,--,3 %,0.1 %
Banana chips,Nice! Banana Chips,1,0.5 cup,160,10 g,9 g,--,--,0 g,0 mg,0 mg,--,18 g,2 g,11 g,1 g,--,--,--,--
Tapioca chips,Jaambu Kerala tapioca chips Tapioca chips,1,50 g,154,1 g,1 g,--,--,--,--,20 mg,196 mg,35 g,5 g,2 g,2 g,--,--,4 %,23 %
Corn chivda,Khamang Corn Flakes Chivda,1,100 g,595,44.5 g,25.46 g,2.58 g,6.85 g,0 g,0 mg,7.9 mg,--,38.03 g,2.09 g,19.9 g,12.83 g,--,--,--,--
Roasted chana,Babaji Chana Roasted Chana,1,100 gram,446,18 g,4 g,9 g,5 g,0 g,0 mg,992 mg,0 mg,56 g,9.6 g,1 g,15 g,0 %,0 %,0 %,0 %
Masala peanuts,Rose Masala Peanuts,1,100 gram,599,41 g,0 g,0 g,0 g,0 g,0 mg,63.13 mg,0 mg,29.79 g,3.5 g,0 g,20.1 g,0 %,0 %,0 %,0 %
Sing bhujia,Atul bakery Sing bhujia,1,50 g,297,21 g,4 g,--,--,--,--,10 mg,--,15 g,2 g,1 g,11 g,--,--,--,--
Dry fruit mix,winco mixed dry fruit,1,0.25 cup,130,0 g,0 g,0 g,0 g,0 g,0 mg,40 mg,4 mg,33 g,1 g,27 g,1 g,0 %,0 %,2 %,6 %
Energy laddoo,haldiram laddoo,1,100 gram,506,23 g,15 g,--,--,--,--,--,--,63 g,--,26 g,9.4 g,--,--,--,--
Til chikki,Laziz Til (Sesame) Chikki,1,100 grams,486,21.2 g,3.5 g,0 g,0 g,0 g,0 mg,31 mg,0 mg,61 g,1.3 g,54.1 g,12.9 g,0 %,11 %,4 %,13 %
Peanut chikki,Chikki stick Peanut chikki,1,1 bar,"1,040",56 g,0 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,100 g,0 g,0 g,24 g,0 %,0 %,0 %,0 %
Rajgira laddoo,rajgira ladu rajgira and jaggery,1,100 gram,404,0 g,--,--,--,--,--,--,--,86 g,--,38 g,7 g,--,--,--,--
Sabudana papad,Sabudana Khichdi,1,183.96 gramm,262,10.88 g,1.27 g,2.04 g,6.6 g,0.04 g,0 mg,256.45 mg,403.13 mg,38.38 g,2.63 g,2.94 g,4.55 g,0.71 %,14.12 %,2.68 %,8.04 %
Fryums,Anand Fryums,1,23 g,101,1 g,0 g,0 g,0 g,0 g,0 mg,57 mg,0 mg,23 g,0 g,0 g,3 g,0 %,0 %,1 %,0 %
Bread toast butter,Bunny Bread Toast and Butter,1,2 slices,220,11.5 g,3 g,0.5 g,--,--,10 mg,335 mg,--,23 g,1 g,3 g,4 g,--,--,6 %,8 %
Bun maska,Mr puff maska bun,1,100 gram,311,5 g,--,--,--,--,--,--,--,57.4 g,--,28.36 g,9.1 g,--,--,--,--
Veg burger (Indian style),Homemade Indian Style Lamb Burgers With Tofu,1,1 burger,170,11.63 g,4.57 g,1.45 g,4.65 g,--,49.22 mg,200.09 mg,152.38 mg,6.29 g,0.64 g,0.7 g,9.85 g,0.8 %,1 %,9 %,8 %
Cheese sandwich,Sandwich Cheese sandwich,1,1 sandwich,327,14.5 g,0 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,34.5 g,0 g,0 g,13.5 g,0 %,0 %,0 %,0 %
Paneer sandwich,Generic Paneer Toasted Sandwich,1,1 sandwich,521,25.76 g,0.73 g,2.7 g,1.07 g,--,50 mg,343 mg,288 mg,48.48 g,5.6 g,3.54 g,3.54 g,--,--,--,--
Toast sandwich,"D'Angelo Grilled Sandwiches Medium Toasted Hot Sandwiches, Thanksgiving Toasted",1,1 Serving,680,30 g,7 g,--,--,0 g,145 mg,780 mg,--,46 g,1 g,18 g,54 g,--,--,--,--
Club sandwich (veg),Gadoua Sandwich Club,1,2 slices,180,2 g,0.5 g,--,--,0 g,0 mg,340 mg,--,33 g,1 g,3 g,7 g,--,--,6 %,15 %
Frankie roll,Frankies Skinless Frankfurters,1,1 link,150,14 g,5 g,--,--,0 g,35 mg,460 mg,--,0 g,0 g,0 g,8 g,--,--,0 %,4 %
Aloo roll,Vadilal Aloo Tikki Khati Roll,1,1 roll,155,9 g,4 g,--,--,0 g,3 mg,487 mg,--,15 g,2 g,4 g,2.5 g,--,--,2 %,4 %
Paneer roll,Eat.fit Paneer Roll,1,1 container,580,23 g,--,--,--,--,--,--,--,69 g,14 g,--,23 g,--,--,--,--
Cheese balls,Brim's Cheese Balls,1,1 oz,150,10 g,1.5 g,--,--,0 g,0 mg,250 mg,--,14 g,0 g,2 g,1 g,--,--,2.6 %,0 %
Veg nuggets,sadia nuggets veg,1,3 unidades,180,9.1 g,0 g,--,--,0.8 g,--,384 mg,--,17 g,0.8 g,--,10 g,--,--,--,--
Potato wedges,Potato Wedges Potato Wedges,1,100 gr,140,5 g,0 g,0 g,4 g,0 g,0 mg,50 mg,0 mg,20 g,2 g,0 g,2 g,0 %,0 %,0 %,0 %
Masala fries,Mccain Masala Fries,1,100 g,186,8.01 g,3.63 g,1.93 g,2.45 g,--,0 mg,--,--,23.57 g,--,0.59 g,4.79 g,--,--,--,--
Cheese corn balls,Cheese Balls,1,1 cup,151,9.66 g,1.49 g,5.04 g,2.82 g,0.22 g,1.08 mg,241.92 mg,53.19 mg,14.61 g,0.59 g,0.75 g,1.56 g,0 %,0 %,1.57 %,1.65 %
Kalakand,sudha kalakand,1,100 gram,412,17.1 g,0 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,51.3 g,0 g,34 g,12.9 g,0 %,0 %,0 %,0 %
Milk Cake,Verka Milk cake,1,200 gram,370,18 g,11.52 g,0 g,0 g,0 g,43 mg,0 mg,0 mg,41.3 g,0 g,20 g,10.8 g,0 %,0 %,0 %,0 %
Cham Cham,Indian Mithai White Cham Cham,1,1 COOKED,175,--,2 g,--,--,26 g,10 mg,5 mg,--,--,--,101 g,1 g,100 %,0 %,660 %,6 %
Sandesh,Deshi Chanar Sandesh Kacha Chana,1,1 piece,314,19 g,5 g,0 g,0 g,0 g,10 mg,5 mg,0 mg,5 g,0 g,24 g,7 g,4 %,0 %,4 %,6 %
Kaju Katli,Haldiram’s Kaju Katli,1,1 pc,90,4 g,1 g,0 g,0 g,0 g,0 mg,1 mg,0 mg,11 g,0 g,9 g,2 g,0 %,0 %,0 %,0 %
Anarsa,Could not find matching food layout
Puran Poli,Indian Puran Poli -2,1,1 piece,240,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Obbattu (holige),Could not find matching food layout
Shakarpara sweet,Elite Sweets Sweet at 7,1,3 wafers,150,8 g,3.5 g,--,--,0 g,2.5 mg,15 mg,0 mg,18 g,--,15 g,2 g,--,--,0 %,0 %
Til ladoo,National Til (Sesame) Ladoo,1,100 gms,565,45 g,35.5 g,5 g,4.5 g,--,5 mg,0 mg,--,25 g,1.2 g,27 g,19 g,4.2 %,0 %,3.5 %,2.5 %
Gond ladoo,Coconut ladoo Ladoo,1,1 no,423,24.33 g,--,--,--,--,--,--,--,53.74 g,6.15 g,--,2.63 g,--,--,--,--
Dry fruit barfi,Coconut Barfi Barfi,1,1 p,350,0 g,--,--,--,--,--,--,--,80 g,--,--,4.5 g,--,--,--,--
Chocolate barfi,(Jhs) Barfi,1,1 slice (50g),270,16.7 g,--,--,--,--,--,--,--,27.5 g,--,--,2.6 g,--,--,--,--
Coconut barfi,Epic (Black Dragon) Coconut Barfi,1,1 each,165,11 g,0 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,16 g,1 g,0 g,3 g,0 %,0 %,0 %,0 %
Apple halwa,Brot Halwa,1,165.33 gramm,341,14.49 g,7.68 g,1.32 g,4.65 g,0.01 g,31.93 mg,247.08 mg,238.9 mg,47.28 g,1.23 g,25.55 g,7.07 g,9.65 %,1.71 %,17.26 %,9.2 %
Lauki halwa,Bread Halwa,1,1 Serving,341,14.49 g,7.68 g,1.32 g,4.65 g,0.01 g,31.93 mg,247.08 mg,238.9 mg,47.28 g,1.23 g,25.55 g,7.07 g,9.65 %,1.71 %,17.26 %,9.2 %
Pumpkin halwa,halwa craft halwa,1,1 gram,452,32.9 g,9 g,--,--,--,--,--,--,26.5 g,6.1 g,19.1 g,12.5 g,--,--,--,--
Carrot kheer,Radhuni kheer mix Kheer mix,1,25 g,105,1 g,0 g,--,--,0 g,0 mg,71 mg,22 mg,22 g,0 g,16 g,2 g,--,--,0 %,--
Sabudana kheer,Sabudana Grain Market Sabudana,1,40 grams,140,0 g,0 g,--,--,0 g,0 mg,5 mg,310 mg,34 g,0 g,--,0 g,--,--,--,--
Rice payasam,fair Semiya Payasam,1,25 g,182,0.03 g,--,--,--,--,--,--,--,43.5 g,0.02 g,--,1.8 g,--,--,0.5 %,0.2 %
Ada payasam,Ambika Payasam mix,1,100 gram,400,4 g,0.3 g,--,--,--,--,--,--,86 g,--,56 g,5 g,--,--,--,--
Pineapple sheera,Bowl Ful Moong Dal Sheera,1,1 packet,881,59 g,36 g,--,--,0 g,107 mg,11 mg,815 mg,71 g,12 g,53 g,17 g,34 %,0 %,34 %,25 %
Mango shrikhand,Surati Shrikhand Mango,1,125 mL (1/2 cup),410,12 g,8 g,--,--,0 g,20 mg,105 mg,--,70 g,4 g,59 g,6 g,8 %,0 %,15 %,2 %
Fruit custard,Homemade (Sujay) Fruit Custard,1,236.6 g,128,3.7 g,2.3 g,--,--,0 g,14 mg,73 mg,383 mg,18.5 g,1.2 g,16.4 g,6.3 g,8 %,13 %,22 %,1 %
Jelly custard,Bingo Egg custard jelly,1,1 cup,62,0 g,0 g,0 g,--,--,0 mg,--,--,15 g,--,--,0 g,--,--,0 %,--
Ice cream (Indian flavors),Vadilal Alphonso Mango Ice Cream Indian Ice Cream,1,1 cone,246,14 g,10 g,--,--,0 g,14 mg,48 mg,--,27 g,--,16 g,3 g,--,--,--,--
Falooda,Faluda Falooda,1,1 glass,300,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kulfi falooda,Desi's Choice Falooda Kulfi,1,1 Bar (75 ml),230,19 g,16 g,0 g,0 g,0.5 g,15 mg,55 mg,0 mg,12 g,0 g,10 g,2 g,6 %,15 %,6 %,2 %
Rabdi jalebi combo,Anand Jalebi,1,100 gm,300,4.3 g,--,--,--,--,--,--,--,62 g,--,--,4.1 g,--,--,--,--
Ghewar,Could not find matching food layout
Balushahi,Could not find matching food layout
Sooji halwa,Deep Sooji,1,0.25 cup,173,1 g,0 g,--,--,0 g,0 mg,10 mg,--,36 g,1 g,0 g,5 g,--,--,0 %,10 %
Besan halwa,bombay halwa bombay halwa,1,1 piece,445,13.89 g,3.97 g,3.56 g,12.21 g,0 g,0 mg,0 mg,0 mg,37 g,0 g,0 g,6.5 g,0 %,0 %,0 %,0 %
Atta halwa,Golden Halwa Golden Halwa,1,2 Slices,201,7 g,3.9 g,--,--,--,--,1.5 mg,--,34.4 g,1.02 g,18.2 g,1.2 g,--,--,--,--
Mohanthal,Could not find matching food layout
Mysore pak (soft),MTR Mysore Pak,1,100 pieces,553,36.5 g,12 g,--,--,0 g,5 mg,3 mg,--,52.7 g,--,38.2 g,3.3 g,--,--,--,--
Badam halwa,nandini badam halwa badam halw,1,100 gram,574,48.9 g,23 g,--,--,0.6 g,--,--,--,26.3 g,--,21 g,7.2 g,--,--,0.21 %,--
Kesar peda,Kesar Peda Indian sweets,1,1 piece,49,1 g,0 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,10 g,0 g,0 g,1 g,0 %,0 %,0 %,0 %
Malai sandwich,Young Sandwich filler Malai Boti,1,1 portion,99,6.3 g,2.9 g,--,--,0 g,0 mg,254 mg,--,2.6 g,0 g,1.5 g,8 g,--,--,--,--
Jal Jeera,Jal Jeera Powder (KM Pharma) (100 g) Jal Jeera Powder,1,100 gram,196,5.4 g,--,--,--,--,--,"19,724 mg",--,31.23 g,3.64 g,--,5.52 g,--,--,--,--
Aam Panna,Haldiram’s AAM PANNA,1,200 ml,32,0 g,--,--,--,--,--,--,--,8 g,--,7 g,0 g,--,--,--,--
Kokum Sharbat,Naurus Sharbat,1,35 ml,128,0 g,--,--,--,--,0 mg,25 mg,--,32 g,--,32 g,0 g,--,--,--,--
Sugarcane Juice,Storia Sugarcane juice,1,100 ml,70,0 g,0 g,--,--,--,--,121 mg,--,17.5 g,--,17.15 g,0.1 g,--,--,--,--
Fresh Lime Soda,Double Vodka Fresh Lime Soda,1,1 glass,131,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rose Milk,barakat rose milk ramadan milk with rose water.,1,330 ml,390,4 g,2 g,--,--,--,--,--,--,21 g,--,--,3 g,--,--,--,--
Badam Milk,MTR Badam Milk,1,1 Can,180,7.2 g,0 g,0 g,0 g,0 g,0 mg,117 mg,0 mg,25.2 g,0 g,16.2 g,5.4 g,0 %,0 %,0 %,0 %
Turmeric Milk,Turmeric Turmeric Powder,1,10 grams,35,1 g,--,--,--,--,0 mg,3.8 mg,252.5 mg,6.5 g,2.1 g,--,0.8 g,0 %,43 %,18 %,517 %
Filter Coffee,Lavazza Filter Coffee,1,1 Mug (200ml),8,0 g,0 g,0 g,0 g,0 g,0 mg,0 mg,--,0 g,0 g,0 g,0 g,--,--,--,--
Cold Coffee,Cavins Cold Coffee Cold coffee,1,180 ml,111,4 g,--,--,--,--,--,--,--,15.8 g,--,--,3 g,--,--,--,--
Iced Tea,Brisk Sweet Tea Iced Tea,1,12 fl oz,60,0 g,--,--,--,--,--,110 mg,40 mg,17 g,--,17 g,0 g,--,--,--,--
Masala Soda,campa zeera masala soda,1,100 gm,60,0 g,0 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,9 g,0 g,9 g,0.4 g,0 %,0 %,0 %,0 %
Thandai,nic thandai,1,100 ml,257,11.8 g,5 g,--,--,--,--,--,--,31.9 g,--,--,5.8 g,--,--,--,--
Sattu Drink,sattu channa sattu,1,50 gram,206,3.5 g,--,--,--,--,--,--,--,30 g,--,--,12 g,--,--,--,--
Buttermilk masala,the Buttermilk Company Chana Masala,1,6 oz,344,22 g,0.3 g,--,--,0 g,0 mg,747 mg,--,33 g,8.3 g,8.5 g,8.2 g,--,--,--,20 %
Fruit Juice (mixed),"Fruit 66 Fruit Juice, Mixed Berry",1,1 can,118,0 g,--,--,--,--,--,10 mg,--,28 g,--,28 g,0 g,--,--,10 %,--
Mango Shake,Storia Mango shake,1,100 ml,156,4.8 g,2.7 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,25.8 g,0 g,8.8 g,2.5 g,0 %,0 %,0 %,0 %
Banana Shake,banana shake,1,1 gram,90,0 g,0 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,23 g,0 g,0 g,1.1 g,0 %,0 %,0 %,0 %
Strawberry Shake,Shakeology Strawberry Shake,1,1 scoop,140,2 g,--,1 g,0 g,--,5 mg,170 mg,--,14 g,4 g,7 g,17 g,--,--,25 %,5.56 %
Chocolate Milkshake,Chocolate milkshake,1,1 milkshake (10 fl oz),336,17.192 g,10.416 g,0.616 g,4.592 g,--,56 mg,145.6 mg,523.6 mg,37.8 g,1.4 g,35.28 g,9.716 g,--,1.4 %,33.04 %,5.432 %
Green Tea,Bigelow Teas Green Tea,1,1 cup,2,0 g,0 g,--,--,--,0 mg,2.45 mg,19.6 mg,0 g,0 g,0 g,0.54 g,--,--,0 %,0.28 %
Herbal Tea,Versana Herbal Tea,1,1 tea bag,0,0 g,--,--,--,--,--,0 mg,--,0 g,--,0 g,0 g,--,--,--,--
Yippee Noodles,Yippee Noodles Instant Noodles,1,1 gram,330,14 g,8 g,--,--,0.1 g,0 mg,920 mg,--,46 g,3 g,2 g,6 g,0 %,15 %,10 %,35 %
Pasta (white sauce),"Botticelli White Pasta Sauce, Alfredo, Premium",1,0.25 cup,100,8 g,6 g,--,--,0 g,25 mg,410 mg,0 mg,3 g,0 g,1 g,3 g,--,--,6 %,0 %
Pasta (red sauce),Herringtons Red Peppers Pasta Sauce Pasta Sauce,1,0.5 cup,35,1 g,0 g,0 g,0 g,0 g,0 mg,285 mg,0 mg,0 g,2 g,4 g,1 g,10 %,20 %,4 %,10 %
Instant Upma mix,Nirav i Instant upma mix,1,0.25 cup,118,3 g,0 g,0 g,0 g,0 g,0 mg,9 mg,0 mg,25 g,1 g,0 g,3.3 g,0 %,0 %,1 %,3 %
Instant Poha,Poha Organic poha,1,1 serv 45g,345,0.5 g,--,--,--,--,--,--,--,78 g,--,--,7 g,--,--,1 %,4 %
Cornflakes,Kellogg's cornflakes Cornflakes,1,30 g,113,0.3 g,0.1 g,--,--,--,0 mg,68 mg,0 mg,25 g,0.9 g,2.4 g,2.1 g,30 %,0 %,0 %,17 %
Muesli,Kellogg's Muesli Muesli,1,45 g,185,5.9 g,1.2 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,26 g,9 g,7.2 g,5.4 g,0 %,0 %,0 %,0 %
Oats flavored,GreenWise Oats & Honey Flavored Granola,1,0.67 cup,270,10 g,1 g,--,--,0 g,0 mg,160 mg,140 mg,40 g,4 g,15 g,6 g,--,--,2 %,8.89 %
Parle-G biscuits,Parle-G  Royale Parle Biscuits,1,3 Cookies,170,6 g,3 g,--,--,0 g,0 mg,95 mg,30 mg,27 g,0.5 g,10 g,2 g,--,--,0 %,0 %
Marie biscuits,Bakers Marie biscuits Biscuits,1,200 gram,847,18.1 g,10.4 g,2.4 g,6.2 g,0 g,42 mg,754 mg,--,148 g,3.4 g,43.4 g,16.6 g,--,--,--,--
Cream biscuits,"Biscuits, sandwich, cream",1,1 g,5,0.233 g,0.133 g,0.021 g,0.068 g,0 g,0.027 mg,1.88 mg,2.53 mg,0.658 g,0.031 g,0.299 g,0.05 g,0.001 %,0 %,0.118 %,0.122 %
Bourbon biscuits,Bourbon Ball Biscuit,1,11 grams,50,2.23 g,0.48 g,1.2 g,0.41 g,0.02 g,0.07 mg,27.51 mg,12.76 mg,6.58 g,0.24 g,3.48 g,0.55 g,0.01 %,0.03 %,0.17 %,0.63 %
Good Day biscuits,Good day Cashew biscuit,1,4 biscuits,160,8 g,4 g,--,--,0 g,1 mg,70 mg,--,20 g,--,7 g,2 g,--,--,--,--
Rusk,Dehradun Rusk Rusk,1,100 gm,420,9.7 g,4.9 g,1 g,2.4 g,1.3 g,--,--,--,71.4 g,--,23.7 g,11.9 g,--,--,--,--
Toast biscuits,Prima Toast Biscuits,1,6 toasts,130,3.5 g,2.5 g,--,--,0 g,0 mg,150 mg,--,22 g,2 g,5 g,3 g,0 %,0 %,0 %,4 %
Kurkure,Bingo Kurkure,1,1 pack,109,6.6 g,3.1 g,--,--,2 g,0 mg,147.7 mg,--,11.5 g,--,--,1.1 g,--,--,--,--
Lays chips,Lays Chips Classic lays chips,1,1 bag,160,11 g,1 g,--,--,0 g,0 mg,190 mg,--,15 g,--,--,2 g,--,--,--,--
Doritos,Doritos Doritos,1,12 chips,150,8 g,1 g,--,--,0 g,0 mg,190 mg,--,18 g,1 g,--,2 g,--,--,--,--
Nachos (Indian),Indian Food,1,1 cup,324,10.67 g,4.77 g,1.52 g,3.75 g,0.04 g,55.56 mg,949.87 mg,462 mg,39.87 g,3.95 g,4.05 g,18.21 g,16.05 %,14.23 %,8.74 %,16.16 %
Popcorn (butter),The Popcorn Factory Butter Popcorn,1,1 bag,210,16 g,2 g,--,--,0 g,0 mg,200 mg,55 mg,14 g,3 g,0 g,2 g,--,--,0.2 %,0 %
Protein bar,Protein Bars Protein Bars,1,0.063 pan,103,4.5 g,--,--,--,--,--,--,--,15 g,2 g,6.3 g,4.25 g,--,--,--,--
Energy drink,Monster Energy Energy Drink,1,100 ml,48,0 g,--,--,--,--,--,0.08 mg,--,12 g,--,11 g,0 g,--,--,0 %,0 %
