Search Term,Matched Food Name,Serving Qty,Serving Size,Calories,Total Fat,Saturated,Polyunsaturated,Monounsaturated,Trans,Cholesterol,Sodium,Potassium,Total Carbs,Dietary Fiber,Sugars,Protein,Vitamin A,Vitamin C,Calcium,Iron
Boiled egg,Eggs Boiled Egg,1.0,1 piece,70.0,5 g,1.5 g,1 g,2 g,0 g,185 mg,65 mg,70 mg,1 g,0 g,0 g,6 g,6 %,0 %,2 %,4 %
Egg omelette,Egg Egg Omelette,1.0,100 g,153.0,12.02 g,3.37 g,2 g,4.99 g,--,--,161 mg,114 mg,0.69 g,--,--,10.62 g,--,--,--,--
Egg bhurji,Generic Scrambled Egg Bhurji,1.0,0.5 cup cooked,191.0,13.7 g,3 g,3.2 g,6.2 g,--,--,--,--,6.1 g,--,--,12 g,--,--,--,--
Chicken curry,Cobbydale Chicken Curry Chicken Curry,1.0,1 portion,463.0,11.8 g,--,--,--,--,--,--,--,48.9 g,--,--,42.3 g,--,--,--,--
Grilled chicken breast,Grilled Chicken Breast Plain,1.0,3 oz,128.0,2.69 g,0.84 g,0.65 g,1.03 g,0.01 g,88.4 mg,44.2 mg,332.35 mg,0 g,0 g,0 g,25.96 g,0.54 %,0 %,0.42 %,2.13 %
Chicken tikka,Chicken tikka grilled Tikka,1.0,100 g,157.0,5 g,--,--,--,--,--,--,--,0.4 g,--,--,27.7 g,--,--,--,--
Mutton curry,Curry mutton Curry mutton,1.0,500 g,609.0,16.5 g,--,--,--,--,--,--,--,66.7 g,9.9 g,2 g,49 g,--,--,--,--
Fish curry,KYF Fish Curry,1.0,359 gram,404.0,26.4 g,2.1 g,--,--,--,--,641.8 mg,855.3 mg,13.3 g,3.7 g,8.7 g,27.5 g,2 %,15.67 %,9.21 %,15 %
Fried fish,fish fried fish,1.0,100 grams,243.0,13.85 g,0 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,0 g,0 g,0 g,27.76 g,0 %,0 %,0 %,0 %
Canned tuna,Tuna can of tuna,1.0,1 can,100.0,1 g,0 g,0 g,0 g,0 g,55 mg,270 mg,280 mg,0 g,0 g,0 g,22 g,0 %,0 %,0 %,6 %
Prawn curry,aldi Prawn curry,1.0,350 gram,210.0,2.7 g,0.4 g,0 g,0 g,0 g,0 mg,1.1 mg,0 mg,8.6 g,2.9 g,0 g,10 g,0 %,0 %,0 %,0 %
Dal chawal,Tiffin To Go Dal Chawal,1.0,1 Cup,425.0,11.5 g,6.3 g,0.9 g,4.3 g,0 g,12.9 mg,747 mg,--,70.3 g,--,--,10.1 g,--,--,86.2 %,2.3 %
Veg biryani,Sri's Veg Biryani,1.0,1 cup,318.0,6.19 g,0.84 g,1.66 g,3.22 g,--,3 mg,866 mg,354 mg,57.17 g,--,2.74 g,7.75 g,--,--,--,--
Chicken biryani,Chicken Biryani Cook Chicken Biryani,1.0,1 cup,364.0,7.1 g,1.7 g,--,--,--,--,0.5 mg,--,46.6 g,--,9.9 g,26.5 g,--,--,--,--
Khichdi,Fit Khichdi,1.0,100 gm,116.0,1.19 g,--,--,--,--,--,53 mg,197 mg,22.85 g,3.1 g,1.72 g,4.08 g,8 %,12 %,3 %,9 %
Curd rice,Curd. Curd.,1.0,100 ml,48.0,1.5 g,--,--,--,--,--,--,--,5 g,--,--,3.5 g,--,--,--,--
Veg pulao,Eat.fit Ghar Ke Rajma & Veg Pulao,1.0,1 Bowl,548.0,6 g,--,--,--,--,--,--,--,97 g,20 g,--,23 g,--,--,--,--
Veg fried rice,CFS CFS Veg Fried Rice,1.0,124 g 1-katori,94.0,1.7 g,--,--,--,--,--,--,--,17.8 g,2.2 g,15.6 g,2 g,--,--,--,--
Samosa,Deep Samosas,1.0,2 pieces,165.0,8 g,2 g,--,--,0 g,6 mg,140 mg,--,18 g,0 g,0 g,5 g,--,--,8 %,6 %
Vada pav,Govardhan Thal Vada Pav,1.0,1 piece,300.0,9 g,5 g,0 g,1 g,10 g,70 mg,250 mg,100 mg,55 g,5 g,6 g,3 g,0 %,0 %,0 %,0 %
Pav bhaji,Pav Bhaji Pav Toasted With Butter,1.0,1 pav,100.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bhel puri,Snacks-maharashtiran Bhel Bhel Puri,1.0,1 Cup (112.5 grams),138.0,6.6 g,1.2 g,1.2 g,1.6 g,--,0 mg,175 mg,173.3 mg,18.3 g,2.1 g,1.9 g,2.7 g,7.2 %,12.6 %,1.6 %,3.3 %
Dhokla,Aa Chitale Dhokla,1.0,100 g,375.0,4.3 g,0.7 g,2.5 g,1.1 g,--,--,"3,474 mg",--,68.3 g,7.9 g,19.5 g,15.8 g,--,5.7 %,7.5 %,19.4 %
Veg momos,Prasuma veg momo,1.0,1 nos,35.0,0.95 g,0.65 g,--,--,0 g,0 mg,109.4 mg,--,5.43 g,--,1.1 g,1.09 g,--,--,--,--
Pakora,Pakora Veggie Pakoras,1.0,2 Pakoras,110.0,4.5 g,--,--,--,--,--,--,--,15 g,--,--,3 g,--,--,--,--
Marie biscuit,Patanjali Biscuits Marie biscuits,1.0,18 Biscuits,460.0,12 g,6 g,--,--,--,1.85 mg,170 mg,--,78 g,8 g,--,8.5 g,--,--,--,--
Banana,Banana Organic Banana Bites,1.0,1.4 oz,115.0,0 g,0 g,--,--,0 g,0 mg,0 mg,600 mg,27 g,4 g,17 g,2 g,--,--,0 %,1.94 %
Apple,Apple Country Apple,1.0,1 apple,80.0,0 g,0 g,0 g,0 g,0 g,0 mg,0 mg,170 mg,22 g,5 g,16 g,0 g,2 %,8 %,0 %,2 %
Mango,Diazteca Mango Fresh Mango Fruit,1.0,1 cup sliced,110.0,0 g,0 g,--,--,0 g,0 mg,0 mg,--,28 g,3 g,24 g,1 g,--,--,2 %,2 %
Papaya,Papaya Maradol Papaya,1.0,100 g,39.0,0 g,0 g,0 g,0 g,0 g,0 mg,0 mg,257 mg,9.8 g,1.8 g,5.9 g,0.6 g,0 %,0 %,0 %,0 %
Guava,Heinz Guava,1.0,113 g,86.0,0 g,--,--,--,0 g,--,25.8 mg,--,21.4 g,2.8 g,15.5 g,0.2 g,--,--,0.91 %,0 %
Watermelon,Watermelon,1.0,"1 cup, ball",23.0,0.115 g,0.015 g,0.039 g,0.031 g,0 g,0 mg,0.77 mg,86.24 mg,5.814 g,0.308 g,4.774 g,0.47 g,29.206 %,10.395 %,0.539 %,1.024 %
Orange,Darling Oranges Navel Orange,1.0,1 medium orange,80.0,0 g,0 g,--,--,0 g,0 mg,0 mg,250 mg,19 g,3 g,14 g,1 g,--,--,7.8 %,0 %
Pomegranate,Asda pomegranate Pomegranate,1.0,1 cup,63.0,0.5 g,0.1 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,12 g,0 g,0 g,1.3 g,0 %,0 %,0 %,0 %
Chai,Pacific Chai Spice Chai Latte,1.0,2 tbsp,90.0,1.5 g,1.5 g,--,--,0 g,0 mg,30 mg,170 mg,16 g,0 g,16 g,1 g,--,--,3.7 %,0 %
Black coffee,black Coffee Black Coffee,1.0,1 cup,0.0,0 g,0 g,0 g,0 g,0 g,0 mg,0 mg,116 mg,0 g,0 g,0 g,0 g,0 %,0 %,0 %,0 %
Coffee with milk,Stumptown Coffee with Milk,1.0,1 cup,110.0,3 g,2 g,--,--,0 g,20 mg,25 mg,--,14 g,0 g,14 g,2 g,--,--,6 %,0 %
Sweet lassi,Nestle Sweet Lassi,1.0,100 ml,60.0,1.4 g,0 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,10.3 g,0 g,7.9 g,1.5 g,0 %,0 %,0 %,0 %
Coconut water,Coconuts water Coconut water,1.0,1 cup,90.0,0 g,0 g,--,--,--,--,45 mg,--,23 g,--,43 g,0 g,--,--,--,--
Protein shake,Protein Shake Protein Shake,1.0,1 Scoop,110.0,1 g,--,--,--,--,5 mg,115 mg,--,1 g,--,--,25 g,--,--,--,--
Nimbu pani,Mania Nimbu Pani (Lemonade),1.0,201 ml,98.0,0 g,0 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,24.8 g,0 g,24 g,0 g,0 %,0 %,0 %,0 %
Fruit juice,Fruitopia Fruit Juice,1.0,1 serving,90.0,0 g,--,--,--,--,--,20 mg,--,24 g,--,23 g,0 g,--,--,--,--
