source_page_number,calories_url,recipe_url,list_title
2,https://www.tarladalal.com/calories-for-Motichoor-Ke-Ladoo-3916,https://www.tarladalal.com/Motichoor-Ke-Ladoo-3916r,Calories In Motichoor Ke Ladoo – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Mango-Milkshake-38492,https://www.tarladalal.com/Mango-Milkshake-38492r,Calories In Mango Milkshake – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Instant-Medu-Vada-40192,https://www.tarladalal.com/Instant-Medu-Vada-40192r,Calories In Instant Medu Vada – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Vegetable-Sandwich--Mumbai-Roadside-Recipes--33416,https://www.tarladalal.com/Vegetable-Sandwich--Mumbai-Roadside-Recipes--33416r,Calories In Vegetable Sandwich – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Appam-Appam-Kerala-Recipe-193,https://www.tarladalal.com/Appam-Appam-Kerala-Recipe-193r,Calories In Appam – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Paneer-Bhurji-190,https://www.tarladalal.com/Paneer-Bhurji-190r,Calories In Paneer Bhurji – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Chhena-Chenna-Recipe-1997,https://www.tarladalal.com/Chhena-Chenna-Recipe-1997r,Calories In Chhena – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Moong-Dal-Khichdi-Gujarati-Recipe-621,https://www.tarladalal.com/Moong-Dal-Khichdi-Gujarati-Recipe-621r,Calories In Moong Dal Khichdi – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Egg-Bhurji-Anda-Bhurji--Egg-Masala-Bhurji-40755,https://www.tarladalal.com/Egg-Bhurji-Anda-Bhurji--Egg-Masala-Bhurji-40755r,Calories In Egg Bhurji – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Basic-Toovar-Dal-Recipe-Toor-Dal-42289,https://www.tarladalal.com/Basic-Toovar-Dal-Recipe-Toor-Dal-42289r,Calories In Basic Toovar Dal Recipe – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Rice-Kheer-2040,https://www.tarladalal.com/Rice-Kheer-2040r,Calories In Rice Kheer – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Moong-Dal-Dosa----Idlis-and-Dosas--1698,https://www.tarladalal.com/Moong-Dal-Dosa----Idlis-and-Dosas--1698r,Calories In Moong Dal Dosa – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Vegetable-Chow-Mein-4162,https://www.tarladalal.com/Vegetable-Chow-Mein-4162r,Calories In Vegetable Chow Mein – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Phulka-Recipe-Indian-Chapati-Recipe-4392,https://www.tarladalal.com/Phulka-Recipe-Indian-Chapati-Recipe-4392r,Calories In Phulka Recipe – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Salted-Lassi-40698,https://www.tarladalal.com/Salted-Lassi-40698r,Calories In Salted Lassi – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Masala-Chai-Or-Masala-Tea-40555,https://www.tarladalal.com/Masala-Chai-Or-Masala-Tea-40555r,Calories In Masala Chai Or Masala Tea – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Khakhra--Whole-Wheat-35900,https://www.tarladalal.com/Khakhra--Whole-Wheat-35900r,Calories In Khakhra – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Restaurant-Style-Palak-Paneer-Healthy-Palak-Paneer-22796,https://www.tarladalal.com/Restaurant-Style-Palak-Paneer-Healthy-Palak-Paneer-22796r,Calories In Restaurant Style Palak Paneer – Nutrition Facts & Health Analysis
