food_name,recipe_title,recipe_url,calories_url,source_page_number,ingredient_count,ingredient_sections,serving_label,nutrient_heading,carbohydrates_value,cholesterol_value,energy_value,fat_value,fiber_value,protein_value,sodium_value
Authentic Rasgulla,Authentic Rasgulla Recipe – Soft & Spongy Bengali Mithai,https://www.tarladalal.com/rasgulla-mithai-bengali-style-rasgulla-2005r,https://www.tarladalal.com/calories-for-Rasgulla-Mithai-Bengali-Style-Rasgulla-2005,1,4,For The Chenna | Other Ingredients For Rasgulla,plate,Nutrient values (Abbrv)per plate,14.8 g,5 mg,106 Calories,3.3 g,0.0 g,2.4 g,29 mg
Khaman Dhokla,Khaman Dhokla Recipe | Soft Gujarati Khaman Dhokla,https://www.tarladalal.com/khaman-dhokla-soft-gujarat-khaman-dhokla-33269r,https://www.tarladalal.com/calories-for-Khaman-Dhokla-Soft-Gujarati-Khaman-Dhokla-33269,1,16,For Khaman Dhokla | For Serving With Khaman Dhokla | For The Garnish,plate,Nutrient values (Abbrv)per plate,45.5 g,0 mg,303 Calories,7.5 g,9.6 g,13.4 g,46 mg
Sambar,Sambar Recipe (South Indian Homemade Sambar),https://www.tarladalal.com/sambar-recipe-south-indian-homemade-sambar-recipe-1557r,https://www.tarladalal.com/calories-for-Sambar-Recipe-South-Indian-Homemade-Sambar-Recipe-1557,1,16,For Sambar,plate,Nutrient values (Abbrv)per plate,18.4 g,0 mg,143 Calories,5.4 g,2.8 g,5.3 g,11 mg
Sweet Punjabi Lassi,Sweet Punjabi Lassi Recipe (Dahi Ki Lassi),https://www.tarladalal.com/sweet-punjabi-lassi-dahi-ki-lassi-40433r,https://www.tarladalal.com/calories-for-Sweet-Punjabi-Lassi-Dahi-Ki-Lassi-40433,1,2,For Sweet Punjabi Lassi,glasse,Nutrient values (Abbrv) per glasse,34.8 g,24 mg,286 Calories,9.8 g,0.0 g,6.5 g,29 mg
Besan Ladoo,Besan Ladoo Recipe | Traditional Indian Sweet Mithai,https://www.tarladalal.com/besan-ladoo-indian-mithai-2034r,https://www.tarladalal.com/calories-for-Besan-Ladoo-Indian-Mithai-2034,1,6,For Besan Ladoo | For The Garnish,ladoo,Nutrient values (Abbrv) per ladoo,38.1 g,0 mg,307 Calories,13.6 g,5.6 g,8.0 g,27 mg
Banana Milkshake,Banana Milkshake Recipe,https://www.tarladalal.com/banana-milkshake-41464r,https://www.tarladalal.com/calories-for-Banana-Milkshake-41464,1,3,Main Ingredients,glasse,Nutrient values (Abbrv) per glasse,50.1 g,16 mg,307 Calories,6.9 g,2.3 g,5.8 g,65 mg
Sada Dosa,Sada Dosa Recipe (Plain Dosa),https://www.tarladalal.com/sada-dosa-1681r,https://www.tarladalal.com/calories-for-Sada-Dosa-1681,1,10,For Sada Dosa | For Serving With Sada Dosa,dosas.,Nutrient values (Abbrv) per dosas.,17.8 g,0 mg,106 Calories,2.7 g,0.7 g,2.6 g,3 mg
Vegetable Biryani,Vegetable Biryani Recipe (Desi Biryani),https://www.tarladalal.com/vegetable-biryani---desi-khana-1551r,https://www.tarladalal.com/calories-for-Vegetable-Biryani---Desi-Khana-1551,1,26,For The Garnish | For The Rice | For The Vegetable Gravy | Other Ingredients For Vegetable Biryani,plate,Nutrient values (Abbrv)per plate,60.8 g,4 mg,448 Calories,18.2 g,5.7 g,8.9 g,26 mg
Moong Dal Kachori,Moong Dal Kachori Recipe (Rajasthani Moong Dal Kachori),https://www.tarladalal.com/moong-dal-kachori-3862r,https://www.tarladalal.com/calories-for-Moong-Dal-Kachori-3862,1,14,For The Dough | For The Moong Dal Filling | Other Ingredients For Moong Dal Kachori,kachori,Nutrient values (Abbrv) per kachori,18.8 g,0 mg,195 Calories,11.5 g,1.0 g,4.1 g,5 mg
Pesarattu,Pesarattu Recipe (Green Moong Dosa),https://www.tarladalal.com/pesarattu-1688r,https://www.tarladalal.com/calories-for-Pesarattu-1688,1,9,For Pesarattu | For Serving With Pesarattu,pesarattu,Nutrient values (Abbrv) per pesarattu,38.3 g,0 mg,272 Calories,6.8 g,9.9 g,14.3 g,17 mg
Jalebi,Jalebi Recipe (Authentic Jalebi),https://www.tarladalal.com/jalebi-1991r,https://www.tarladalal.com/calories-for-jaleb-1991,1,10,For Jalebi | For Sugar Syrup | For The Garnish,jalebi,Nutrient values (Abbrv) per jalebi,10.4 g,0 mg,66 Calories,2.5 g,0.0 g,0.5 g,0 mg
Vegetable Maggi Noodle,Vegetable Maggi Noodle Recipe,https://www.tarladalal.com/vegetable-maggi-noodle-tiffin-box-noodles-40122r,https://www.tarladalal.com/calories-for-Vegetable-Maggi-Noodle-Tiffin-Box-Noodles-40122,1,4,For Vegetable Maggi Noodle,serving,Nutrient values (Abbrv) per serving,24.2 g,0 mg,205 Calories,10.2 g,1.5 g,4.2 g,458 mg
