food_name,recipe_title,recipe_url,calories_url,source_page_number,ingredient_count,ingredient_sections,serving_label,nutrient_heading,carbohydrates_value,cholesterol_value,energy_value,fat_value,fiber_value,protein_value,sodium_value
Moong Osaman,Moong Osaman Recipe (Healthy Green Moong Osaman),https://www.tarladalal.com/moong-osaman-33481r,https://www.tarladalal.com/calories-for-Moong-Osaman-33481,69,16,For Moong Osaman,serving,Nutrient values (Abbrv) per serving,0.8 g,0 mg,19 Calories,1.7 g,0.2 g,0.1 g,3 mg
Makhana Bhel,Makhana Bhel Recipe (Fox Nut Bhel),https://www.tarladalal.com/makhana-bhel-42932r,https://www.tarladalal.com/calories-for-Makhana-Bhel-42932,69,19,For The Masala Makhana | Other Ingredients,serving,Nutrient values (Abbrv) per serving,28.5 g,0 mg,310 Calories,18.4 g,3.8 g,8.7 g,17 mg
Bulgur Wheat Porridge For Babies,Bulgur Wheat Porridge For Babies Recipe,https://www.tarladalal.com/bulgur-wheat-porridge-for-babies-3060r,https://www.tarladalal.com/calories-for-Bulgur-Wheat-Porridge-for-Babies-3060,69,2,For Bulgur Wheat Porridge For Babies,cup,Nutrient values (Abbrv) per cup,52.0 g,0 mg,233 Calories,0.8 g,2.6 g,4.4 g,3 mg
Eggless Apple Cake,Eggless Apple Cake Recipe,https://www.tarladalal.com/eggless-apple-cake-41279r,https://www.tarladalal.com/calories-for-Eggless-Apple-Cake-41279,69,11,For Serving | Main Ingredients,serving,Nutrient values (Abbrv) per serving,25.1 g,20 mg,176 Calories,6.9 g,0.5 g,2.7 g,66 mg
French Beans Foogath,French Beans Foogath Recipe,https://www.tarladalal.com/french-beans-foogath-4364r,https://www.tarladalal.com/calories-for-French-Beans-Foogath-4364,69,12,For French Beans Foogath,serving,Nutrient values (Abbrv) per serving,8.2 g,0 mg,104 Calories,6.5 g,3.5 g,3.0 g,10 mg
Bombay Curry Soup,Bombay Curry Soup Recipe (Masoor Dal Soup),https://www.tarladalal.com/bombay-curry-soup-2112r,https://www.tarladalal.com/calories-for-Bombay-Curry-Soup-2112,69,9,For Bombay Curry Soup | For The Garnish,serving,Nutrient values (Abbrv) per serving,4.8 g,0 mg,44 Calories,2.0 g,0.9 g,1.8 g,3 mg
Tandoori Paneer Tikka ( Kebabs And Tikkis ),Tandoori Paneer Tikka ( Kebabs And Tikkis ) Recipe,https://www.tarladalal.com/tandoori-paneer-tikka--kebabs-and-tikkis-recipe-32711r,https://www.tarladalal.com/calories-for-Tandoori-Paneer-Tikka--Kebabs-and-Tikkis-Recipe-32711,69,11,Main Ingredients | To Be Mixed Into A Marinade,serving,Nutrient values (Abbrv) per serving,6.9 g,0 mg,268 Calories,21.5 g,0.1 g,10.5 g,6 mg
Amla Sabji,Amla Sabji Recipe (Indian Gooseberry Accompaniment),https://www.tarladalal.com/amla-sabji-indian-gooseberry--accompaniment-42343r,https://www.tarladalal.com/calories-for-Amla-Sabji-Indian-Gooseberry--Accompaniment-42343,69,13,For The Garnish | Main Ingredients,serving,Nutrient values (Abbrv) per serving,18.1 g,0 mg,174 Calories,11.1 g,2.4 g,0.4 g,4 mg
Sandwich House,Sandwich House Recipe (Beet Carrot Indian Sandwich),https://www.tarladalal.com/sandwich-house-2552r,https://www.tarladalal.com/calories-for-Sandwich-House-2552,69,14,Main Ingredients | To Be Mixed Into A Beetroot Mixture | To Be Mixed Into A Carrot Mixture | To Be Mixed Into A Lettuce Mixture,sandwich house,Nutrient values (Abbrv) per sandwich house,72.6 g,33 mg,491 Calories,17.8 g,2.3 g,14.1 g,591 mg
Mint Honey Lemon Drink,Mint Honey Lemon Drink Recipe (Lemon Mint And Honey Water),https://www.tarladalal.com/mint-honey-lemon-drink-lemon-mint-and-honey-water-40074r,https://www.tarladalal.com/calories-for-Mint-Honey-Lemon-Drink-Lemon-Mint-and-Honey-Water-40074,69,5,For Mint Honey Lemon Drink,small glasse,Nutrient values (Abbrv) per small glasse,7.1 g,0 mg,29 Calories,0.1 g,0.3 g,0.2 g,1 mg
Mexican Rice And Chapati Rolls,Mexican Rice And Chapati Rolls Recipe,https://www.tarladalal.com/mexican-rice-and-chapati-rolls-22636r,https://www.tarladalal.com/calories-for-Mexican-Rice-and-Chapati-Rolls-22636,69,9,For the hot and sour sauce | Main Recipe,roll,Nutrient values (Abbrv) per roll,28.4 g,0 mg,169 Calories,4.9 g,1.2 g,2.9 g,6 mg
Thai Green Curry Veg Soup,Thai Green Curry Veg Soup Recipe,https://www.tarladalal.com/thai-green-curry-veg-soup-4621r,https://www.tarladalal.com/calories-for-Thai-Green-Curry-Veg-Soup-4621,69,15,Other Ingredients | To Blend Into A Thai Paste (using 1/2 Cup Water),serving,Nutrient values (Abbrv) per serving,9.7 g,0 mg,151 Calories,11.2 g,4.0 g,3.5 g,6 mg
Paneer Hyderabadi,Paneer Hyderabadi Recipe,https://www.tarladalal.com/paneer-hyderabadi-32941r,https://www.tarladalal.com/calories-for-Paneer-Hyderabadi-32941,69,27,For Garnish | For Paneer Hyderabadi | For The Green Masala Paste | To Be Mixed Into Curd Masala Mixture,serving,Nutrient values (Abbrv) per serving,7.6 g,3 mg,319 Calories,27.7 g,1.1 g,9.6 g,23 mg
Taco Shells,Taco Shells Recipe (Mexican Taco Shells),https://www.tarladalal.com/taco-shells-39838r,https://www.tarladalal.com/calories-for-Taco-Shells-39838,69,7,For Taco Shells,taco shell,Nutrient values (Abbrv) per taco shell,6.7 g,0 mg,84 Calories,6.1 g,0.4 g,0.8 g,1 mg
Vegetable Kalvan,Vegetable Kalvan Recipe (Indian Recipes),https://www.tarladalal.com/vegetable-kalvan-4375r,https://www.tarladalal.com/calories-for-Vegetable-Kalvan-4375,69,23,For The Garnish | For The Gravy | Main Ingredients,serving,Nutrient values (Abbrv) per serving,11.4 g,0 mg,152 Calories,10.7 g,3.2 g,2.7 g,16 mg
Garlic And Tendli Achar,Garlic And Tendli Achar Recipe (Tendli Garlic Pickle),https://www.tarladalal.com/garlic-and-tendli-pickle-39073r,https://www.tarladalal.com/calories-for-Garlic-and-Tendli-Pickle-39073,69,9,For Garlic and Tendli Pickle | To Be Mixed Into A Masala,cup,Nutrient values (Abbrv) per cup,2.3 g,0 mg,105 Calories,10.2 g,1.0 g,1.8 g,24 mg
Low Calorie Gajar Halwa,Low Calorie Gajar Halwa Recipe (Quick Gajar Halwa),https://www.tarladalal.com/low-calorie-gajar-halwa-4078r,https://www.tarladalal.com/calories-for-Low-Calorie-Gajar-Halwa-4078,69,6,Main Ingredients,serving,Nutrient values (Abbrv) per serving,23.0 g,2 mg,169 Calories,6.9 g,3.9 g,2.9 g,33 mg
Lettuce And Apple Salad,Lettuce And Apple Salad Recipe,https://www.tarladalal.com/lettuce-and-apple-salad-33694r,https://www.tarladalal.com/calories-for-Lettuce-and-Apple-Salad-33694,69,13,Main Ingredients | To Be Mixed Into A Dressing,serving,Nutrient values (Abbrv) per serving,7.6 g,0 mg,40 Calories,0.4 g,2.4 g,1.7 g,66 mg
Fresh Ginger Pickle,Fresh Ginger Pickle Recipe (Healthy Antioxidant),https://www.tarladalal.com/fresh-ginger-pickle-5012r,https://www.tarladalal.com/calories-for-Fresh-Ginger-Pickle-5012,69,3,For Fresh Ginger Pickle,cup,Nutrient values (Abbrv) per cup,11.1 g,0 mg,57 Calories,0.9 g,1.7 g,1.0 g,2715 mg
Date Pancakes,Date Pancakes Recipe (Eggless Date Pancakes),https://www.tarladalal.com/eggless-date-pancake-healthy-indian-pancake-22335r,https://www.tarladalal.com/calories-for-Eggless-Date-Pancake-Healthy-Indian-Pancake-22335,69,9,For The Pancakes | To Be Mixed Into A Stuffing,pancake,Nutrient values (Abbrv) per pancake,14.8 g,1 mg,105 Calories,3.9 g,1.1 g,2.6 g,7 mg
Spinach Crepes,Spinach Crepes Recipe (Mexican Recipes),https://www.tarladalal.com/spinach-crepes-1262r,https://www.tarladalal.com/calories-for-Spinach-Crepes-1262,69,9,For the baking | For the spinach filling | None,,Nutrient values (Abbrv) per null,17.4 g,16 mg,179 Calories,9.5 g,1.5 g,5.6 g,108 mg
Paneer Chana Seekh Kebab ( Paneer Snacks ),Paneer Chana Seekh Kebab ( Paneer Snacks ) Recipe,https://www.tarladalal.com/paneer-chana-seekh-kebab--paneer-snacks--32944r,https://www.tarladalal.com/calories-for-Paneer-Chana-Seekh-Kebab--Paneer-Snacks--32944,69,15,For Serving | Other Ingredients | To Be Mixed Into A Marinade,kebab,Nutrient values (Abbrv) per kebab,8.7 g,0 mg,107 Calories,6.1 g,1.4 g,4.4 g,5 mg
Lemon Cheesecake ( Diabetic),Lemon Cheesecake ( Diabetic) Recipe,https://www.tarladalal.com/lemon-cheesecake--diabetic-3477r,https://www.tarladalal.com/calories-for-Lemon-Cheesecake--Diabetic-3477,69,9,For The Cheesecake Mixture | For The Crust | For The Topping (optional),serving,Nutrient values (Abbrv) per serving,26.2 g,4 mg,170 Calories,5.8 g,0.3 g,3.3 g,37 mg
Sai Bhaji,Sai Bhaji Recipe (Sindhi Sai Bhaji),https://www.tarladalal.com/sai-bhaji--pregnancy-recipe-2972r,https://www.tarladalal.com/calories-for-Sai-Bhaji--Pregnancy-Recipe-2972,69,14,For Sai Bhaji,serving,Nutrient values (Abbrv) per serving,22.2 g,0 mg,155 Calories,4.9 g,6.5 g,6.0 g,51 mg
Minty Lemongrass Milk,Minty Lemongrass Milk Recipe (Lemongrass Milk With Mint),https://www.tarladalal.com/minty-spicy-lemongrass-milk-4216r,https://www.tarladalal.com/calories-for-Minty-Spicy-Lemongrass-Milk-4216,69,7,For Minty Spicy Lemongrass Milk,glasse,Nutrient values (Abbrv) per glasse,14.0 g,16 mg,153 Calories,6.5 g,0.0 g,4.4 g,19 mg
Minty Jaljeera,Minty Jaljeera Recipe (Pudina Jaljeera),https://www.tarladalal.com/minty-jaljeera-recipe--pudina-jaljeera-41887r,https://www.tarladalal.com/calories-for-Minty-Jaljeera-Recipe--Pudina-Jaljeera-41887,69,11,For Minty Jaljeera | For The Garnish,glasse,Nutrient values (Abbrv) per glasse,10.9 g,0 mg,48 Calories,0.2 g,0.6 g,0.4 g,1358 mg
Mexican Pita Pockets,Mexican Pita Pockets Recipe (Indian Diabetic Recipes),https://www.tarladalal.com/mexican-pita-pockets-3466r,https://www.tarladalal.com/calories-for-Mexican-Pita-Pockets-3466,69,19,For the mexican bean patties | For the whole wheat pita breads | Other ingredients | To be blended into a mint dressing,,Nutrient values (Abbrv) per null,28.6 g,0 mg,161 Calories,2.1 g,4.9 g,7.9 g,436 mg
Beetroot Pav Bhaji,Beetroot Pav Bhaji Recipe (Beetroot Mumbai Bhaji),https://www.tarladalal.com/beetroot-pav-bhaji-recipe-42491r,https://www.tarladalal.com/calories-for-Beetroot-Pav-Bhaji-Recipe-42491,69,18,For Serving | For The Beetroot Bhaji | For The Pavs,serving,Nutrient values (Abbrv) per serving,58.7 g,38 mg,418 Calories,16.7 g,2.5 g,8.2 g,143 mg
Buckwheat And Quinoa Bread,Buckwheat And Quinoa Bread Recipe,https://www.tarladalal.com/buckwheat-and-quinoa-bread-42584r,https://www.tarladalal.com/calories-for-Buckwheat-and-Quinoa-Bread-42584,69,11,For Buckwheat and Quinoa Bread | For The Topping,loaf ( 8 slices),Nutrient values (Abbrv) per loaf ( 8 slices),226.9 g,0 mg,1207 Calories,22.0 g,25.6 g,35.6 g,2738 mg
Flax Seed Shakarpara,Flax Seed Shakarpara Recipe | Diabetic Friendly Snack,https://www.tarladalal.com/flax-seed-shakarpara-diabetic-friendly-41168r,https://www.tarladalal.com/calories-for-Flax-Seed-Shakarpara-Diabetic-Friendly-41168,69,6,For Flax Seed Shakarpara,serving,Nutrient values (Abbrv) per serving,21.4 g,0 mg,163 Calories,7.2 g,5.6 g,4.8 g,8 mg
Raiwala Marcha,Raiwala Marcha Recipe (Gujarati Bhavnagri Chillies Pickle),https://www.tarladalal.com/raiwala-marcha-575r,https://www.tarladalal.com/calories-for-Raiwala-Marcha-575,69,8,for Raiwala Marcha,serving,Nutrient values (Abbrv) per serving,0.6 g,0 mg,33 Calories,3.4 g,0.1 g,0.1 g,2584 mg
Carrot Coriander Juice For Detox,Carrot Coriander Juice For Detox Recipe,https://www.tarladalal.com/carrot-coriander-juice-5531r,https://www.tarladalal.com/calories-for-Carrot-Coriander-Juice-5531,69,4,For Carrot Coriander Juice,small glasse,Nutrient values (Abbrv) per small glasse,3.3 g,0 mg,15 Calories,0.1 g,1.3 g,0.3 g,11 mg
Peach Halwa,Peach Halwa Recipe (Peach Halwa With Mava),https://www.tarladalal.com/peach-halwa-2038r,https://www.tarladalal.com/calories-for-Peach-Halwa-2038,69,6,For Peach Halwa | For The Garnish,serving,Nutrient values (Abbrv) per serving,32.7 g,0 mg,224 Calories,9.0 g,0.8 g,2.6 g,1 mg
Bulgur Wheat Pongal,Bulgur Wheat Pongal Recipe. Low Salt Healthy South Indian,https://www.tarladalal.com/bulgur-wheat-pongal-low-salt-recipe-42008r,https://www.tarladalal.com/calories-for-Bulgur-Wheat-Pongal-Low-Salt-Recipe-42008,69,10,for Bulgur Wheat Pongal,plate,Nutrient values (Abbrv)per plate,20.5 g,0 mg,124 Calories,2.4 g,1.5 g,4.9 g,5 mg
Spicy Potato Kadhi,Spicy Potato Kadhi Recipe (Indian Vegetarian Recipes),https://www.tarladalal.com/spicy-potato-kadhi-2408r,https://www.tarladalal.com/calories-for-Spicy-Potato-Kadhi-2408,69,16,For The Garnish | Main Ingredients,serving,Nutrient values (Abbrv) per serving,20.3 g,0 mg,169 Calories,6.8 g,1.7 g,4.0 g,20 mg
Peanut Butter Banana Oatmeal,Peanut Butter Banana Oatmeal Recipe,https://www.tarladalal.com/indian-style-peanut-butter-banana-oatmeal-41697r,https://www.tarladalal.com/calories-for-Indian-Style-Peanut-Butter-Banana-Oatmeal-41697,70,11,For Indian Style Peanut Butter Banana Oatmeal | For The Garnish,serving,Nutrient values (Abbrv) per serving,44.8 g,81 mg,518 Calories,32.9 g,7.7 g,10.0 g,280 mg
Jaipuria Vegetable,Jaipuria Vegetable Recipe (How To Make Vegetable Jaipuri),https://www.tarladalal.com/jaipuria-vegetable-1062r,https://www.tarladalal.com/calories-for-Jaipuria-Vegetable-1062,70,15,For The Poppy Seeds Paste | Main Ingredients,serving,Nutrient values (Abbrv) per serving,10.3 g,4 mg,243 Calories,18.9 g,2.2 g,6.7 g,20 mg
Anjeer Halwa ( Mughlai ),Anjeer Halwa ( Mughlai ) Recipe (Mughlai Recipes),https://www.tarladalal.com/anjeer-halwa--mughlai-recipe-30978r,https://www.tarladalal.com/calories-for-Anjeer-Halwa--Mughlai-Recipe-30978,70,7,Main Ingredients,serving,Nutrient values (Abbrv) per serving,20.7 g,0 mg,309 Calories,23.5 g,2.3 g,3.3 g,2 mg
Raw Banana Cutlet,Raw Banana Cutlet Recipe (Kacche Kele Ki Tikki),https://www.tarladalal.com/noodle-vegetable-cutlets-7593r,https://www.tarladalal.com/calories-for-Noodle-Vegetable-Cutlets-7593,70,11,For Noodle Vegetable Cutlets | For Serving,cutlet,Nutrient values (Abbrv) per cutlet,7.9 g,0 mg,50 Calories,1.4 g,0.8 g,1.4 g,33 mg
Green Moong Dal Paneer Paratha,Green Moong Dal Paneer Paratha Recipe,https://www.tarladalal.com/green-moong-dal-paneer-paratha---gluten-free-38607r,https://www.tarladalal.com/calories-for-Green-Moong-Dal-Paneer-Paratha---Gluten-Free-38607,70,9,Green Moong Dal Paneer Paratha,paratha,Nutrient values (Abbrv) per paratha,20.0 g,0 mg,144 Calories,4.3 g,2.9 g,6.2 g,7 mg
Puffed Rice And Sesame Bars,Puffed Rice And Sesame Bars Recipe,https://www.tarladalal.com/puffed-rice-and-sesame-bars-puffed-rice-gud-bars-1904r,https://www.tarladalal.com/calories-for-Puffed-Rice-and-Sesame-Bars-Puffed-Rice-Gud-Bars-1904,70,5,For Puffed Rice and Sesame Bars,bar,Nutrient values (Abbrv) per bar,6.7 g,0 mg,51 Calories,2.3 g,0.6 g,0.8 g,1 mg
Baked Stuffed Capsicum Or How To Make Baked Stuffed Capsicum,Baked Stuffed Capsicum Or How To Make Baked Stuffed Capsicum Recipe,https://www.tarladalal.com/baked-stuffed-capsicum-or-how-to-make-baked-stuffed-capsicum-recipe-31102r,https://www.tarladalal.com/calories-for-Baked-Stuffed-Capsicum-Or-How-To-Make-Baked-Stuffed-Capsicum-Recipe-31102,70,14,For The Risotto Filling | Other Ingredients,stuffed capsicum,Nutrient values (Abbrv) per stuffed capsicum,26.6 g,0 mg,187 Calories,5.8 g,1.1 g,5.7 g,17 mg
Paneer Corn And Capsicum Sabzi,Paneer Corn And Capsicum Sabzi Recipe,https://www.tarladalal.com/paneer-corn-and-capsicum-sabzi-37775r,https://www.tarladalal.com/calories-for-Paneer-Corn-and-Capsicum-Sabzi-37775,70,23,For Paneer Corn and Capsicum Sabzi | To Blend Into A Masala Paste Using 1 Tbsp Water,serving,Nutrient values (Abbrv) per serving,16.6 g,0 mg,347 Calories,26.3 g,2.6 g,12.1 g,15 mg
Eggless Chocolate Cookies,Eggless Chocolate Cookies Recipe,https://www.tarladalal.com/chocolate-cookies-homemade-chocolate-cookies-1939r,https://www.tarladalal.com/calories-for-Chocolate-Cookies-Homemade-Chocolate-Cookies-1939,70,11,For Eggless Chocolate Cookies,cookies.,Nutrient values (Abbrv) per cookies.,14.7 g,16 mg,136 Calories,9.1 g,0.4 g,2.1 g,71 mg
Lahsun Ka Achaar,Lahsun Ka Achaar Recipe (Punjabi Lehsun Ka Achar),https://www.tarladalal.com/lahsun-ka-achaar-punjabi-lehsun-achar-recipe-30927r,https://www.tarladalal.com/calories-for-Lahsun-ka-Achaar-Punjabi-Lehsun-Achar-Recipe-30927,70,12,For Lahsun ka Achaar | To Be Ground Coarsely For The Masala,cup,Nutrient values (Abbrv) per cup,33.0 g,0 mg,1232 Calories,121.5 g,2.7 g,1.7 g,5171 mg
Faraali Pattice ( Faraal ),Faraali Pattice ( Faraal ) Recipe (Upvaas Ki Kachori),https://www.tarladalal.com/faraali-pattice---faraal-recipe-32548r,https://www.tarladalal.com/calories-for-Faraali-Pattice---Faraal-Recipe-32548,70,16,For Serving | Other Ingredients | To Be Mixed Together Into A Potato Mixture | To Be Mixed Together Into A Stuffing,pattice,Nutrient values (Abbrv) per pattice,12.1 g,0 mg,139 Calories,9.5 g,1.5 g,2.0 g,5 mg
Aloo Methi Tofu Paratha,Aloo Methi Tofu Paratha Recipe,https://www.tarladalal.com/aloo-methi-tofu-parathas-22397r,https://www.tarladalal.com/calories-for-Aloo-Methi-Tofu-Parathas-22397,70,17,For Serving With Aloo Methi Tofu Parathas | For The Aloo Methi Tofu Stuffing | For The Dough | Other Ingredients For Aloo Methi Tofu Parathas,paratha,Nutrient values (Abbrv) per paratha,31.8 g,0 mg,287 Calories,15.4 g,6.6 g,6.8 g,14 mg
Chapati Rolls Stuffed With Potatoes,Chapati Rolls Stuffed With Potatoes Recipe,https://www.tarladalal.com/chapati-rolls-stuffed-with-spicy-potatoes-3448r,https://www.tarladalal.com/calories-for-Chapati-Rolls-Stuffed-with-Spicy-Potatoes-3448,70,19,For The Chapatis | For The Spicy Potato and Green Pea Stuffing | Other Ingredients,roll,Nutrient values (Abbrv) per roll,17.6 g,9 mg,144 Calories,6.4 g,2.4 g,4.7 g,118 mg
Garlic Chutney,Garlic Chutney Recipe (Gujarati Lehsun Chutney),https://www.tarladalal.com/garlic-chutney--gujarat-recipe-573r,https://www.tarladalal.com/calories-for-Garlic-Chutney--Gujarati-Recipe-573,70,4,for garlic chutney,cup,Nutrient values (Abbrv) per cup,33.2 g,0 mg,184 Calories,0.5 g,7.6 g,9.7 g,13 mg
Dahiwali Pudina Ki Chutney,Dahiwali Pudina Ki Chutney Recipe (Dahiwali Hari Chutney),https://www.tarladalal.com/dahiwali-pudina-ki-chutney-dahiwali-hari-chutney-37264r,https://www.tarladalal.com/calories-for-Dahiwali-Pudina-ki-Chutney-Dahiwali-Hari-Chutney-37264,70,9,For Dahiwali Pudina ki Chutney,cup,Nutrient values (Abbrv) per cup,24.1 g,16 mg,209 Calories,7.1 g,3.1 g,6.8 g,28 mg
Banana Lumpia,Banana Lumpia Recipe (Banana Cinnamon Roll),https://www.tarladalal.com/banana-lumpia-banana-cinnamon-roll-41915r,https://www.tarladalal.com/calories-for-Banana-Lumpia-Banana-Cinnamon-Roll-41915,70,7,For Serving | Main Ingredients,lumpia,Nutrient values (Abbrv) per lumpia,11.0 g,0 mg,45 Calories,0.0 g,0.1 g,0.3 g,73 mg
Indian Railways Veg Cutlet Sandwich,Indian Railways Veg Cutlet Sandwich Recipe (Train Cutlet),https://www.tarladalal.com/indian-railways-veg-cutlet-sandwich-42637r,https://www.tarladalal.com/calories-for-Indian-Railways-Veg-Cutlet-Sandwich-42637,70,17,For The Cutlet | Main Ingredients,sandwiche,Nutrient values (Abbrv) per sandwiche,23.2 g,4 mg,148 Calories,4.5 g,2.5 g,4.1 g,47 mg
Coffee And Biscuit Parfait,Coffee And Biscuit Parfait Recipe,https://www.tarladalal.com/coffee-and-biscuit-parfait-3974r,https://www.tarladalal.com/calories-for-Coffee-and-Biscuit-Parfait-3974,70,6,For The Topping | Main Ingredients,serving,Nutrient values (Abbrv) per serving,70.5 g,0 mg,719 Calories,44.7 g,0.3 g,10.6 g,22 mg
Oats Bhel,Oats Bhel Recipe (Oats And Poha Bhel For Kids),https://www.tarladalal.com/oats-bhel-healthy-snack-for-kids-41920r,https://www.tarladalal.com/calories-for-Oats-Bhel-Healthy-Snack-for-Kids-41920,70,14,For Oats Bhel,serving,Nutrient values (Abbrv) per serving,37.9 g,0 mg,298 Calories,13.1 g,5.0 g,7.7 g,5 mg
Layered Fruit Sandesh,Layered Fruit Sandesh Recipe,https://www.tarladalal.com/layered-fruit-sandesh-3607r,https://www.tarladalal.com/calories-for-Layered-Fruit-Sandesh-3607,70,7,for Layered Fruit Sandesh,serving,Nutrient values (Abbrv) per serving,11.0 g,0 mg,144 Calories,8.8 g,0.7 g,5.3 g,5 mg
Crunchy Drops For Toddlers And Kids,Crunchy Drops For Toddlers And Kids Recipe,https://www.tarladalal.com/crunchy-drops-methi-bajra-crispies-36857r,https://www.tarladalal.com/calories-for-Crunchy-Drops-Methi-Bajra-Crispies-36857,70,12,For Crunchy Drops,drop,Nutrient values (Abbrv) per drop,0.8 g,0 mg,6 Calories,0.2 g,0.1 g,0.2 g,0 mg
Red Pumpkin Pachadi,Red Pumpkin Pachadi Recipe (Kerala Style Mathanga Pachadi),https://www.tarladalal.com/red-pumpkin-pachadi-4993r,https://www.tarladalal.com/calories-for-Red-Pumpkin-Pachadi-4993,70,11,For Red Pumpkin Pachadi | For The Garnish,serving,Nutrient values (Abbrv) per serving,7.5 g,5 mg,152 Calories,11.6 g,0.4 g,2.3 g,10 mg
Rava Green Peas Tikki,Rava Green Peas Tikki Recipe (Green Peas Potatoes Cutletâ),https://www.tarladalal.com/rava-green-peas-tikki-33065r,https://www.tarladalal.com/calories-for-Rava-Green-Peas-Tikki-33065,70,14,For The Covering | Other Ingredients | To Be Mixed Into A Green Peas Stuffing,tikki,Nutrient values (Abbrv) per tikki,10.0 g,0 mg,96 Calories,5.4 g,1.2 g,1.9 g,4 mg
Strawberry Chickoo Shake,Strawberry Chickoo Shake Recipe,https://www.tarladalal.com/strawberry-chickoo-shake-2930r,https://www.tarladalal.com/calories-for-Strawberry-Chickoo-Shake-2930,70,3,Main Ingredients,glasse,Nutrient values (Abbrv) per glasse,30.3 g,16 mg,232 Calories,7.7 g,11.7 g,5.3 g,25 mg
Kokum Sherbet,Kokum Sherbet Recipe (Kokum Juice),https://www.tarladalal.com/kokum-sherbet-22384r,https://www.tarladalal.com/calories-for-Kokum-Sherbet-22384,70,4,For Kokum Sherbet,glasse,Nutrient values (Abbrv) per glasse,26.5 g,0 mg,107 Calories,0.0 g,0.0 g,0.0 g,0 mg
Macaroni In Hurry,Macaroni In Hurry Recipe (Quick Macaroni Pasta),https://www.tarladalal.com/macaroni-in-a-hurry-156r,https://www.tarladalal.com/calories-for-Macaroni-in-A-Hurry-156,70,11,For Macaroni In A Hurry,serving,Nutrient values (Abbrv) per serving,25.1 g,0 mg,299 Calories,17.0 g,3.0 g,9.8 g,118 mg
Pista Choco Roll,Pista Choco Roll Recipe (Mithai Recipes),https://www.tarladalal.com/pista-choco-roll-mithai-recipe-2059r,https://www.tarladalal.com/calories-for-Pista-Choco-Roll-Mithai-Recipe-2059,70,8,For The Pista Choco Roll Recipe,roll,Nutrient values (Abbrv) per roll,7.0 g,0 mg,97 Calories,6.1 g,0.3 g,3.8 g,0 mg
Eggless Chocolate Pudding,Eggless Chocolate Pudding Recipe,https://www.tarladalal.com/eggless-chocolate-pudding-indian-style-8723r,https://www.tarladalal.com/calories-for-Eggless-Chocolate-Pudding-Indian-Style-8723,70,5,For Eggless Chocolate Pudding,glasse,Nutrient values (Abbrv) per glasse,7.3 g,0 mg,45 Calories,0.4 g,0.6 g,3.9 g,50 mg
Peas And Potato Salad,Peas And Potato Salad Recipe,https://www.tarladalal.com/peas-and-potato-salad-33695r,https://www.tarladalal.com/calories-for-Peas-and-Potato-Salad-33695,70,7,For The Garnish | Main Ingredients | To Be Mixed Into A Dressing,serving,Nutrient values (Abbrv) per serving,12.4 g,0 mg,63 Calories,0.1 g,2.5 g,3.4 g,22 mg
Gujarati Raw Papaya Chutney,Gujarati Raw Papaya Chutney Recipe (Kacha Papaya Sambharo),https://www.tarladalal.com/gujarat-raw-papaya-chutney-kacha-papaya-sambharo-41992r,https://www.tarladalal.com/calories-for-Gujarati-Raw-Papaya-Chutney-Kacha-Papaya-Sambharo-41992,70,11,For Gujarati Raw Papaya Chutney | For Serving With Gujarati Raw Papaya Chutney,cup,Nutrient values (Abbrv) per cup,20.0 g,0 mg,234 Calories,16.0 g,2.3 g,4.9 g,14 mg
Doodhi Kofta Curry,Doodhi Kofta Curry Recipe (Jain Recipes),https://www.tarladalal.com/doodhi-kofta-curry-7541r,https://www.tarladalal.com/calories-for-Doodhi-Kofta-Curry-7541,70,25,For the garnish | For the gravy | For the koftas,,Nutrient values (Abbrv) per null,26.5 g,0 mg,363 Calories,27.4 g,1.7 g,3.9 g,178 mg
Tomato Salsa,Tomato Salsa Recipe (Fresh Indian Style Tomato Salsa),https://www.tarladalal.com/tomato-salsa-3519r,https://www.tarladalal.com/calories-for-Tomato-Salsa-3519,70,12,For Serving | For Tomato Salsa,cup (12 tbsp),Nutrient values (Abbrv) per cup (12 tbsp),14.1 g,0 mg,74 Calories,0.7 g,4.2 g,2.6 g,25 mg
Spinach And Chickpea Soup,Spinach And Chickpea Soup Recipe,https://www.tarladalal.com/spinach-and-chickpea-soup-39143r,https://www.tarladalal.com/calories-for-Spinach-and-Chickpea-Soup-39143,70,12,Spinach and Chickpea Soup,serving,Nutrient values (Abbrv) per serving,27.8 g,0 mg,179 Calories,4.5 g,11.5 g,6.8 g,47 mg
Palak Baby Corn Subzi,Palak Baby Corn Subzi Recipe (Indian Low Fat Recipes),https://www.tarladalal.com/palak-baby-corn-subzi-3566r,https://www.tarladalal.com/calories-for-Palak-Baby-Corn-Subzi-3566,70,13,Main Ingredients,serving,Nutrient values (Abbrv) per serving,15.3 g,0 mg,92 Calories,2.2 g,2.8 g,4.1 g,60 mg
