food_name,serving_type,serving_qty,serving_weight_grams,serving_weight_grams_numeric,serving_phrase,table_value_header,table_daily_value_header,nutrient_count,calcium_daily_value_pct,calcium_value,carbohydrates_daily_value_pct,carbohydrates_value,cholesterol_daily_value_pct,cholesterol_value,energy_daily_value_pct,energy_value,fat_daily_value_pct,fat_value,fiber_daily_value_pct,fiber_value,folic_acid_vitamin_b9_daily_value_pct,folic_acid_vitamin_b9_value,iron_daily_value_pct,iron_value,magnesium_daily_value_pct,magnesium_value,phosphorus_daily_value_pct,phosphorus_value,potassium_daily_value_pct,potassium_value,protein_daily_value_pct,protein_value,sodium_daily_value_pct,sodium_value,vitamin_a_daily_value_pct,vitamin_a_value,vitamin_b1_thiamine_daily_value_pct,vitamin_b1_thiamine_value,vitamin_b2_riboflavin_daily_value_pct,vitamin_b2_riboflavin_value,vitamin_b3_niacin_daily_value_pct,vitamin_b3_niacin_value,vitamin_c_daily_value_pct,vitamin_c_value,vitamin_e_daily_value_pct,vitamin_e_value,zinc_daily_value_pct,zinc_value
Mooli Jowar ki Roti,roti,1 roti,,,Mooli Jowar ki Roti,Value per roti,% Daily Values,20,1%,7.2 mg,4%,12.2 g,0%,0.0 mg,5%,99 kcal,8%,4.82 g,6%,1.79 g,2%,5.5 mcg,4%,0.7 mg,7%,28.8 mg,4%,41.2 mg,1%,33.8 mg,3%,1.8 g,0%,4.2 mg,5%,48.4 mcg,5%,0.1 mg,1%,0.0 mg,4%,0.6 mg,2%,1.4 mg,0%,0.0 mg,2%,0.3 mg
small glass Bourbon Milkshake,small glass,1 small glass,,,small glass Bourbon Milkshake,Value per small glass,% Daily Values,20,27%,273.6 mg,12%,32.0 g,5%,16.0 mg,15%,296 kcal,22%,13.28 g,0%,0.00 g,2%,5.6 mcg,1%,0.2 mg,4%,19.0 mg,13%,130.0 mg,3%,90.0 mg,11%,6.9 g,1%,19.0 mg,16%,160.0 mcg,3%,0.0 mg,5%,0.1 mg,1%,0.1 mg,1%,1.0 mg,0%,0.0 mg,0%,0.0 mg
Paneer Tikka Pulao Recipe (Chawal Recipes),serving,1 serving,,,,Value serving,% Daily Values,20,22%,221.9 mg,14%,39.6 g,1%,2.7 mg,19%,374 kcal,33%,19.65 g,7%,2.19 g,2%,7.5 mcg,3%,0.5 mg,10%,46.2 mg,20%,202.5 mg,3%,90.9 mg,15%,8.9 g,0%,7.9 mg,37%,366.5 mcg,10%,0.1 mg,3%,0.1 mg,7%,0.9 mg,25%,19.7 mg,1%,0.1 mg,4%,0.6 mg
Instant Mango Pickle Recipe (Aam Ka Achar),tbsp,1 tbsp,,,,Value per tbsp,% Daily Values,20,4%,40.5 mg,23%,62.3 g,0%,0.0 mg,22%,442 kcal,39%,23.69 g,22%,6.74 g,17%,51.2 mcg,4%,0.8 mg,8%,34.6 mg,4%,42.5 mg,17%,591.4 mg,3%,2.0 g,194%,3883.4 mg,103%,1034.9 mcg,26%,0.4 mg,18%,0.4 mg,16%,2.2 mg,126%,100.9 mg,54%,4.0 mg,0%,0.1 mg
Til Papdi Chikki Recipe (Makar Sankranti),piece,1 piece,,,,Value per piece,% Daily Values,20,5%,45.2 mg,2%,5.5 g,0%,0.0 mg,2%,40 kcal,3%,1.74 g,2%,0.52 g,1%,4.3 mcg,2%,0.3 mg,0%,0.0 mg,0%,0.0 mg,0%,6.5 mg,1%,0.7 g,0%,0.0 mg,0%,1.8 mcg,2%,0.0 mg,1%,0.0 mg,1%,0.2 mg,0%,0.0 mg,2%,0.1 mg,2%,0.4 mg
Upperi Recipe (Raw Banana Sweet Crispies),cup,1 cup,,,,Value cup,% Daily Values,20,6%,62.8 mg,42%,114.7 g,0%,0.0 mg,46%,926 kcal,84%,50.42 g,3%,0.90 g,10%,29.5 mcg,67%,12.8 mg,0%,0.0 mg,0%,0.0 mg,10%,347.4 mg,5%,2.7 g,1%,27.0 mg,50%,504.0 mcg,0%,0.0 mg,3%,0.1 mg,3%,0.4 mg,54%,43.2 mg,-43%,-3.2 mg,1%,0.1 mg
Pudina Lassi Recipe (Mint Lassi),serving,1 serving,,,,Value serving,% Daily Values,20,33%,330.0 mg,14%,39.7 g,8%,24.0 mg,15%,307 kcal,16%,9.80 g,2%,0.48 g,6%,17.0 mcg,8%,1.5 mg,8%,33.0 mg,20%,199.7 mg,4%,135.0 mg,11%,6.8 g,1%,28.5 mg,36%,361.5 mcg,5%,0.1 mg,9%,0.2 mg,2%,0.2 mg,4%,3.5 mg,0%,0.0 mg,0%,0.0 mg
Papdi Potato Chick Pea Chaat Recipe,serving,1 serving,,,,Value serving,% Daily Values,20,12%,115.5 mg,13%,35.1 g,2%,6.0 mg,17%,340 kcal,30%,18.06 g,13%,3.81 g,9%,27.7 mcg,11%,2.2 mg,8%,35.2 mg,9%,91.3 mg,6%,222.8 mg,11%,6.8 g,3%,53.4 mg,32%,315.4 mcg,7%,0.1 mg,4%,0.1 mg,12%,1.6 mg,15%,11.7 mg,3%,0.2 mg,2%,0.4 mg
Sweet Potato Khichdi,serving,1 serving,,,serving of Sweet Potato Khichdi,Value serving,% Daily Values,20,7%,68.5 mg,16%,42.7 g,0%,0.0 mg,16%,328 kcal,27%,16.00 g,18%,5.51 g,12%,34.7 mcg,5%,0.9 mg,13%,57.0 mg,11%,105.8 mg,16%,568.3 mg,8%,4.8 g,1%,15.6 mg,25%,246.0 mcg,13%,0.2 mg,3%,0.1 mg,18%,2.5 mg,44%,35.1 mg,13%,1.0 mg,4%,0.7 mg
Cheese And Spring Onion Samosa Recipe (Onion Cheese Samosa),samosa,1 samosa,,,,Value per samosa,% Daily Values,20,7%,71.7 mg,2%,5.7 g,3%,8.8 mg,4%,82 kcal,9%,5.26 g,0%,0.06 g,0%,0.2 mcg,2%,0.4 mg,1%,4.1 mg,5%,54.4 mg,0%,13.3 mg,5%,2.9 g,5%,109.6 mg,6%,57.7 mcg,1%,0.0 mg,0%,0.0 mg,1%,0.2 mg,1%,0.8 mg,-1%,-0.1 mg,0%,0.0 mg
serving (150 grams) of Sprouted Curry with Methi Muthia,serving,1 serving,150 grams,150,serving (150 grams) of Sprouted Curry with Methi Muthia,Value serving,% Daily Values,20,12%,119.1 mg,12%,31.7 g,0%,0.0 mg,22%,442 kcal,54%,32.22 g,30%,8.90 g,63%,189.2 mcg,22%,4.1 mg,23%,99.6 mg,22%,221.4 mg,16%,543.0 mg,17%,10.2 g,2%,38.7 mg,114%,1136.3 mcg,17%,0.2 mg,8%,0.2 mg,14%,1.9 mg,30%,23.7 mg,9%,0.6 mg,10%,1.7 mg
Baby Corn and Capsicum Rice,serving,1 serving,,,serving of Baby Corn and Capsicum Rice,Value serving,% Daily Values,20,1%,14.3 mg,5%,14.9 g,0%,0.0 mg,7%,141 kcal,15%,8.86 g,4%,1.34 g,3%,10.0 mcg,2%,0.4 mg,0%,0.0 mg,0%,0.0 mg,3%,113.2 mg,3%,1.7 g,6%,114.3 mg,19%,189.2 mcg,9%,0.1 mg,2%,0.0 mg,2%,0.3 mg,33%,26.1 mg,-38%,-2.8 mg,2%,0.3 mg
Tarkari Khichdi Recipe,serving,1 serving,,,,Value serving,% Daily Values,20,6%,63.7 mg,13%,36.4 g,0%,0.0 mg,10%,198 kcal,5%,2.73 g,15%,4.41 g,15%,44.4 mcg,11%,2.0 mg,16%,70.5 mg,12%,118.0 mg,10%,351.0 mg,11%,6.7 g,1%,20.4 mg,118%,1180.6 mcg,15%,0.2 mg,3%,0.1 mg,15%,2.1 mg,40%,32.2 mg,6%,0.5 mg,7%,1.1 mg
Bread Fritters Recipe (Bread Pakoda),fritter,1 fritter,,,,Value per fritter,% Daily Values,20,1%,13.7 mg,4%,10.0 g,0%,0.5 mg,4%,82 kcal,6%,3.59 g,3%,0.92 g,3%,8.4 mcg,2%,0.4 mg,2%,7.8 mg,4%,35.9 mg,1%,43.7 mg,4%,2.2 g,0%,5.5 mg,12%,116.5 mcg,3%,0.0 mg,1%,0.0 mg,2%,0.2 mg,1%,0.7 mg,0%,0.0 mg,1%,0.1 mg
Aloo Paneer Chaat Matar Recipe (Chatpata Aloo Paneer Chaat),serving,1 serving,,,,Value serving,% Daily Values,20,37%,367.9 mg,11%,31.0 g,0%,0.0 mg,21%,425 kcal,47%,27.98 g,11%,3.39 g,7%,19.8 mcg,4%,0.8 mg,8%,35.3 mg,26%,264.5 mg,7%,258.8 mg,21%,12.6 g,1%,13.8 mg,66%,662.4 mcg,10%,0.1 mg,1%,0.0 mg,8%,1.1 mg,32%,25.6 mg,2%,0.1 mg,3%,0.5 mg
Hari Chila Roti,serving,1 serving,,,Hari Chila Roti,Value serving,% Daily Values,20,7%,66.9 mg,9%,23.8 g,0%,0.0 mg,7%,145 kcal,6%,3.51 g,16%,4.76 g,11%,32.5 mcg,10%,1.9 mg,12%,52.1 mg,12%,122.7 mg,5%,164.2 mg,9%,5.5 g,1%,28.0 mg,99%,990.7 mcg,12%,0.2 mg,4%,0.1 mg,10%,1.3 mg,16%,12.8 mg,7%,0.5 mg,4%,0.7 mg
Cabbage and Carrot Kachumber,serving,1 serving,,,serving of Cabbage and Carrot Kachumber,Value serving,% Daily Values,20,4%,37.1 mg,2%,4.8 g,0%,0.0 mg,2%,47 kcal,4%,2.63 g,7%,2.20 g,4%,13.1 mcg,3%,0.6 mg,4%,17.4 mg,14%,135.1 mg,3%,107.0 mg,2%,1.0 g,1%,15.3 mg,49%,487.5 mcg,3%,0.0 mg,2%,0.0 mg,2%,0.3 mg,67%,53.5 mg,1%,0.1 mg,1%,0.2 mg
Moong Sprouts And Spring Onion Tikki Recipe,tikki,1 tikki,,,,Value per tikki,% Daily Values,20,1%,12.0 mg,2%,5.6 g,0%,0.0 mg,2%,37 kcal,1%,0.71 g,5%,1.56 g,17%,50.3 mcg,2%,0.5 mg,3%,14.2 mg,3%,32.5 mg,2%,78.9 mg,4%,2.2 g,0%,2.3 mg,2%,19.3 mcg,4%,0.1 mg,1%,0.0 mg,1%,0.2 mg,2%,1.9 mg,1%,0.1 mg,2%,0.3 mg
Paneer Mixed Sesame Seed Balls,ball,1 ball,,,Paneer Mixed Sesame Seed Balls,Value per ball,% Daily Values,20,8%,75.5 mg,1%,1.6 g,0%,0.0 mg,2%,45 kcal,6%,3.48 g,2%,0.67 g,2%,5.4 mcg,2%,0.4 mg,3%,14.0 mg,4%,43.9 mg,1%,18.7 mg,3%,1.8 g,0%,0.4 mg,3%,30.2 mcg,3%,0.0 mg,1%,0.0 mg,1%,0.2 mg,0%,0.2 mg,0%,0.0 mg,3%,0.5 mg
Mug Pizza Recipe (Mug Pizza In A Microwave),mug pizza,1 mug pizza,,,,Value per mug pizza,% Daily Values,20,26%,257.1 mg,14%,38.4 g,5%,15.5 mg,23%,465 kcal,41%,24.61 g,17%,4.98 g,13%,39.5 mcg,11%,2.0 mg,6%,28.0 mg,10%,102.1 mg,8%,285.0 mg,21%,12.4 g,36%,721.1 mg,54%,536.0 mcg,15%,0.2 mg,7%,0.1 mg,10%,1.5 mg,43%,34.7 mg,25%,1.8 mg,2%,0.3 mg
"Mooli Palak Paratha, Radish Spinach Paratha",paratha,53 grams,53 grams,53,"Mooli Palak Paratha, Radish Spinach Paratha",Value per paratha,% Daily Values,20,3%,27.9 mg,6%,17.7 g,0%,0.0 mg,7%,145 kcal,12%,7.05 g,8%,2.40 g,7%,22.1 mcg,6%,1.2 mg,7%,30.2 mg,7%,73.1 mg,3%,110.3 mg,5%,3.0 g,1%,17.8 mg,59%,589.5 mcg,7%,0.1 mg,3%,0.1 mg,7%,1.0 mg,10%,7.7 mg,4%,0.3 mg,3%,0.4 mg
Nachni Khichu Recipe (Ragi Khichu),serving,1 serving,,,,Value serving,% Daily Values,20,27%,269.3 mg,19%,52.6 g,0%,0.0 mg,13%,253 kcal,4%,2.21 g,28%,8.36 g,5%,14.2 mcg,15%,2.8 mg,23%,101.8 mg,21%,208.2 mg,9%,297.6 mg,10%,5.8 g,1%,15.0 mg,18%,176.9 mcg,22%,0.3 mg,7%,0.1 mg,6%,0.8 mg,3%,2.3 mg,1%,0.0 mg,10%,1.7 mg
Veg Soba Noodles Recipe (Indian Style Soba Noodles),serving,1 serving,,,,Value serving,% Daily Values,20,3%,28.6 mg,5%,14.3 g,0%,0.0 mg,6%,112 kcal,8%,5.06 g,2%,0.75 g,1%,2.6 mcg,3%,0.6 mg,0%,0.0 mg,0%,0.0 mg,1%,44.1 mg,3%,2.0 g,9%,175.7 mg,30%,300.3 mcg,4%,0.1 mg,1%,0.0 mg,1%,0.1 mg,12%,9.8 mg,-12%,-0.9 mg,3%,0.4 mg
Jowar Uttapam,uttapam,60 grams,60 grams,60,Jowar Uttapam,Value uttapam,% Daily Values,20,5%,54.0 mg,4%,11.0 g,1%,3.2 mg,4%,79 kcal,4%,2.65 g,5%,1.54 g,3%,8.6 mcg,4%,0.7 mg,6%,26.1 mg,7%,73.3 mg,2%,68.1 mg,4%,2.6 g,0%,8.0 mg,12%,119.6 mcg,5%,0.1 mg,2%,0.0 mg,3%,0.4 mg,3%,2.4 mg,0%,0.0 mg,1%,0.2 mg
serving of Methi Palak Paneer Sabzi,serving,125 grams,125 grams,125,serving of Methi Palak Paneer Sabzi,Value serving,% Daily Values,20,92%,921.6 mg,8%,23.0 g,0%,0.0 mg,31%,625 kcal,82%,49.07 g,19%,5.68 g,42%,125.7 mcg,23%,4.3 mg,18%,79.4 mg,47%,466.0 mg,9%,309.2 mg,39%,23.1 g,4%,71.1 mg,532%,5319.0 mcg,18%,0.2 mg,17%,0.3 mg,7%,1.0 mg,76%,60.5 mg,18%,1.4 mg,3%,0.5 mg
Methia Keri Recipe (Â Gujarati Mango Pickle),tbsp,1 tbsp,,,,Value per tbsp,% Daily Values,20,4%,36.2 mg,8%,21.7 g,0%,0.0 mg,38%,758 kcal,126%,75.38 g,8%,2.30 g,6%,17.9 mcg,2%,0.4 mg,3%,12.5 mg,1%,14.0 mg,6%,206.7 mg,1%,0.6 g,1890%,37791.6 mg,97%,967.4 mcg,9%,0.1 mg,6%,0.1 mg,5%,0.8 mg,45%,35.7 mg,19%,1.4 mg,1%,0.1 mg
Palak Aur Chawal ki Roti,roti,1 roti,,,Palak Aur Chawal ki Roti,Value roti,% Daily Values,20,2%,18.7 mg,14%,37.5 g,0%,0.0 mg,12%,233 kcal,13%,7.52 g,7%,2.10 g,7%,20.7 mcg,4%,0.7 mg,10%,45.3 mg,7%,71.4 mg,2%,79.0 mg,6%,3.4 g,1%,10.1 mg,85%,854.3 mcg,3%,0.0 mg,3%,0.1 mg,7%,1.0 mg,5%,4.0 mg,4%,0.3 mg,4%,0.6 mg
Sweet Shakarpara Recipe (Baked Sweet Shakar Para),cup,1 cup,,,,Value cup,% Daily Values,20,6%,63.4 mg,19%,52.4 g,1%,3.0 mg,16%,312 kcal,14%,8.67 g,20%,5.98 g,6%,18.6 mcg,13%,2.4 mg,16%,68.3 mg,20%,198.7 mg,5%,171.5 mg,11%,6.7 g,1%,13.4 mg,9%,90.2 mcg,18%,0.3 mg,5%,0.1 mg,15%,2.1 mg,0%,0.2 mg,7%,0.5 mg,7%,1.1 mg
Jowar Veggie Wrap,wrap,1 wrap,,,Jowar Veggie Wrap,Value per wrap,% Daily Values,20,6%,58.8 mg,8%,22.0 g,0%,0.0 mg,7%,130 kcal,5%,3.12 g,16%,4.72 g,12%,36.7 mcg,16%,3.1 mg,12%,51.6 mg,14%,143.3 mg,4%,144.9 mg,6%,3.9 g,1%,21.4 mg,72%,724.4 mcg,9%,0.1 mg,5%,0.1 mg,9%,1.3 mg,44%,34.9 mg,3%,0.2 mg,4%,0.6 mg
Masala Coke Recipe,glass,1 glass,,,,Value per glass,% Daily Values,20,0%,1.8 mg,5%,13.7 g,0%,0.0 mg,3%,54 kcal,0%,0.10 g,0%,0.04 g,0%,0.6 mcg,0%,0.0 mg,0%,0.3 mg,0%,0.7 mg,0%,2.6 mg,0%,0.1 g,0%,7.3 mg,7%,69.2 mcg,0%,0.0 mg,0%,0.0 mg,0%,0.0 mg,2%,1.4 mg,0%,0.0 mg,0%,0.0 mg
"Pumpkin Pakoras, Kaddu Pakoda",serving,1 serving,,,"serving of Pumpkin Pakoras, Kaddu Pakoda",Value serving,% Daily Values,20,3%,32.9 mg,11%,31.3 g,0%,0.0 mg,15%,299 kcal,25%,14.94 g,23%,6.92 g,23%,69.4 mcg,13%,2.5 mg,0%,0.0 mg,0%,0.0 mg,11%,395.6 mg,16%,9.8 g,2%,34.6 mg,30%,302.7 mcg,17%,0.2 mg,5%,0.1 mg,10%,1.5 mg,5%,3.8 mg,-11%,-0.8 mg,6%,0.9 mg
Coffee Walnut Ice- Cream Recipe,serving,1 serving,,,,Value serving,% Daily Values,20,19%,191.1 mg,8%,22.7 g,4%,13.3 mg,13%,250 kcal,22%,13.28 g,2%,0.52 g,7%,21.9 mcg,3%,0.6 mg,12%,51.3 mg,16%,155.1 mg,4%,136.9 mg,9%,5.6 g,1%,16.8 mg,15%,149.4 mcg,8%,0.1 mg,7%,0.1 mg,3%,0.4 mg,1%,0.8 mg,4%,0.3 mg,2%,0.3 mg
Three Layered Cheese Grilled Sandwich Recipe,sandwich,1 sandwich,,,,Value per sandwich,% Daily Values,20,31%,309.0 mg,17%,47.4 g,16%,47.8 mg,19%,374 kcal,21%,12.90 g,0%,0.00 g,0%,0.0 mcg,9%,1.7 mg,0%,0.0 mg,20%,197.6 mg,0%,0.9 mg,29%,17.6 g,32%,642.0 mg,10%,103.7 mcg,4%,0.1 mg,0%,0.0 mg,4%,0.6 mg,0%,0.0 mg,-5%,-0.4 mg,0%,0.0 mg
Orange Ice Cream Recipe,serving,1 serving,,,,Value serving,% Daily Values,20,19%,190.2 mg,8%,22.0 g,4%,13.3 mg,11%,218 kcal,18%,10.72 g,1%,0.24 g,4%,11.1 mcg,2%,0.4 mg,4%,18.6 mg,11%,113.9 mg,3%,98.7 mg,7%,4.2 g,1%,21.7 mg,24%,236.0 mcg,5%,0.1 mg,5%,0.1 mg,2%,0.3 mg,1%,0.9 mg,-1%,-0.1 mg,1%,0.1 mg
Baby Corn Fritters Recipe (Baby Corn 65),serving,1 serving,,,,Value serving,% Daily Values,20,3%,32.3 mg,7%,18.0 g,0%,0.0 mg,12%,244 kcal,29%,17.67 g,2%,0.54 g,4%,12.3 mcg,5%,0.9 mg,0%,0.0 mg,0%,0.0 mg,1%,48.3 mg,5%,2.9 g,0%,3.9 mg,17%,170.8 mcg,7%,0.1 mg,3%,0.1 mg,7%,0.9 mg,0%,0.1 mg,-5%,-0.4 mg,1%,0.2 mg
Gujarati Aam ka Panna,glass,1 glass,,,glass of Gujarati Aam ka Panna,Value per glass,% Daily Values,20,1%,7.2 mg,13%,35.4 g,0%,0.0 mg,7%,140 kcal,0%,0.22 g,4%,1.30 g,3%,10.1 mcg,0%,0.1 mg,1%,6.5 mg,1%,7.9 mg,3%,112.3 mg,1%,0.4 g,0%,1.4 mg,17%,165.1 mcg,5%,0.1 mg,4%,0.1 mg,3%,0.4 mg,25%,19.9 mg,11%,0.8 mg,0%,0.0 mg
(30 grams) of Soya and Green Peas Cutlet,cutlet,1 cutlet,30 grams,30,(30 grams) of Soya and Green Peas Cutlet,Value cutlet,% Daily Values,20,7%,65.6 mg,2%,4.1 g,0%,0.0 mg,3%,60 kcal,6%,3.37 g,4%,1.27 g,4%,10.7 mcg,4%,0.8 mg,2%,8.8 mg,6%,56.4 mg,1%,36.5 mg,6%,3.3 g,0%,6.3 mg,45%,446.9 mcg,2%,0.0 mg,1%,0.0 mg,1%,0.2 mg,5%,3.7 mg,2%,0.1 mg,0%,0.1 mg
Rice And Cheese Balls Recipe (Cheesy Masala Rice Balls),ball,1 ball,,,,Value ball,% Daily Values,20,3%,27.8 mg,3%,9.2 g,0%,0.0 mg,3%,58 kcal,3%,1.61 g,1%,0.39 g,0%,0.8 mcg,1%,0.2 mg,0%,0.0 mg,0%,0.0 mg,0%,2.9 mg,3%,1.7 g,0%,0.2 mg,2%,16.0 mcg,1%,0.0 mg,0%,0.0 mg,2%,0.2 mg,0%,0.0 mg,-2%,-0.2 mg,1%,0.1 mg
Baked Ghughra,ghughra,1 ghughra,,,Baked Ghughra,Value ghughra,% Daily Values,20,1%,8.6 mg,4%,11.2 g,0%,0.0 mg,4%,77 kcal,4%,2.54 g,5%,1.59 g,1%,1.5 mcg,3%,0.6 mg,0%,0.0 mg,0%,0.0 mg,1%,30.1 mg,4%,2.4 g,0%,2.3 mg,5%,48.2 mcg,1%,0.0 mg,1%,0.0 mg,2%,0.3 mg,3%,2.3 mg,-4%,-0.3 mg,0%,0.1 mg
glass ( about 200 ml) Guava Drink,glass,1 glass,,,glass ( about 200 ml) Guava Drink,Value per glass,% Daily Values,20,1%,7.9 mg,4%,11.7 g,0%,0.0 mg,2%,49 kcal,0%,0.19 g,15%,4.46 g,0%,0.4 mcg,1%,0.2 mg,3%,13.2 mg,2%,15.1 mg,2%,59.5 mg,1%,0.5 g,0%,3.2 mg,0%,0.0 mcg,1%,0.0 mg,1%,0.0 mg,2%,0.2 mg,139%,110.9 mg,5%,0.4 mg,1%,0.1 mg
Stuffed Potato Idli,idli,1 idli,,,Stuffed Potato Idli,Value idli,% Daily Values,20,1%,6.1 mg,1%,3.8 g,0%,0.0 mg,1%,23 kcal,1%,0.44 g,1%,0.40 g,1%,4.0 mcg,1%,0.2 mg,1%,3.0 mg,0%,4.1 mg,1%,36.5 mg,1%,0.6 g,0%,1.7 mg,2%,23.6 mcg,1%,0.0 mg,0%,0.0 mg,1%,0.2 mg,3%,2.2 mg,0%,0.0 mg,1%,0.2 mg
Eggplant Mozzarella Panini,panini,1 panini,,,Eggplant Mozzarella Panini,Value per panini,% Daily Values,20,4%,43.8 mg,6%,17.3 g,1%,2.8 mg,11%,224 kcal,26%,15.31 g,4%,1.31 g,2%,7.0 mcg,3%,0.6 mg,0%,0.0 mg,0%,0.0 mg,2%,71.6 mg,7%,4.0 g,8%,150.4 mg,36%,362.4 mcg,4%,0.1 mg,1%,0.0 mg,5%,0.7 mg,3%,2.5 mg,-4%,-0.3 mg,0%,0.0 mg
Soya Mutter Pasanda Recipe,serving,1 serving,,,,Value serving,% Daily Values,20,4%,37.3 mg,3%,7.1 g,0%,0.0 mg,4%,74 kcal,5%,2.83 g,12%,3.60 g,4%,12.5 mcg,7%,1.3 mg,5%,23.6 mg,9%,90.9 mg,6%,193.3 mg,9%,5.2 g,0%,4.6 mg,18%,183.3 mcg,6%,0.1 mg,2%,0.0 mg,3%,0.4 mg,8%,6.4 mg,2%,0.1 mg,2%,0.4 mg
Vegetable Shikampuri Kebab Recipe (Mawa Paneer Kebabs),kebab,1 kebab,,,,Value per kebab,% Daily Values,20,6%,63.1 mg,2%,5.9 g,0%,0.0 mg,4%,88 kcal,10%,6.17 g,3%,0.80 g,1%,4.2 mcg,2%,0.4 mg,0%,0.0 mg,0%,0.0 mg,1%,35.5 mg,3%,2.1 g,0%,4.3 mg,18%,177.9 mcg,-1%,-0.0 mg,-1%,-0.0 mg,1%,0.2 mg,7%,5.5 mg,-3%,-0.3 mg,0%,0.1 mg
Bajra Onion Muthia,serving,1 serving,,,serving of Bajra Onion Muthia,Value serving,% Daily Values,20,3%,27.4 mg,9%,24.5 g,0%,0.0 mg,9%,174 kcal,11%,6.63 g,13%,3.83 g,6%,17.1 mcg,14%,2.7 mg,11%,47.9 mg,11%,107.1 mg,4%,131.3 mg,7%,4.0 g,0%,5.5 mg,23%,225.7 mcg,9%,0.1 mg,4%,0.1 mg,6%,0.8 mg,6%,5.1 mg,1%,0.1 mg,6%,1.1 mg
Green Moong Dal and Spring Onion Paratha,paratha,1 paratha,,,Green Moong Dal and Spring Onion Paratha,Value paratha,% Daily Values,20,2%,17.1 mg,7%,20.1 g,0%,0.0 mg,5%,106 kcal,2%,1.33 g,11%,3.27 g,6%,17.9 mcg,7%,1.4 mg,9%,37.6 mg,11%,106.0 mg,4%,154.7 mg,7%,4.4 g,0%,6.3 mg,2%,18.5 mcg,10%,0.1 mg,3%,0.1 mg,8%,1.1 mg,1%,1.1 mg,2%,0.2 mg,4%,0.7 mg
Quick Gajar Ka Halwa Recipe (Gajar Ka Halwa),serving,1 serving,,,,Value serving,% Daily Values,20,114%,1142.8 mg,52%,143.0 g,2%,6.5 mg,59%,1173 kcal,91%,54.32 g,36%,10.79 g,15%,46.0 mcg,23%,4.3 mg,29%,125.5 mg,176%,1760.7 mg,15%,541.3 mg,42%,25.3 g,5%,92.3 mg,478%,4782.6 mcg,26%,0.4 mg,29%,0.6 mg,20%,2.7 mg,16%,12.7 mg,58%,4.4 mg,9%,1.6 mg
Whole Wheat Spaghetti with Vegetables in Almond Sauce,serving,1 serving,,,serving of Whole Wheat Spaghetti with Vegetables in Almond Sauce,Value serving,% Daily Values,20,16%,162.7 mg,6%,15.5 g,4%,12.8 mg,10%,192 kcal,17%,10.46 g,3%,0.87 g,4%,11.1 mcg,4%,0.8 mg,8%,34.5 mg,17%,165.6 mg,4%,146.4 mg,11%,6.9 g,5%,95.0 mg,46%,455.6 mcg,9%,0.1 mg,5%,0.1 mg,3%,0.4 mg,33%,26.5 mg,22%,1.7 mg,2%,0.3 mg
Fresh Pasta Dough Recipe (Homemade Pasta Dough),cup,1 cup,,,,Value per cup,% Daily Values,20,3%,25.3 mg,30%,81.3 g,0%,0.0 mg,46%,923 kcal,102%,60.99 g,1%,0.33 g,0%,0.0 mcg,16%,3.0 mg,0%,0.0 mg,0%,0.0 mg,4%,143.0 mg,20%,12.1 g,1%,10.2 mg,57%,567.5 mcg,9%,0.1 mg,4%,0.1 mg,19%,2.6 mg,0%,0.0 mg,-23%,-1.7 mg,4%,0.7 mg
Scones With Whipped Cream And Jam Recipe,scone,1 scone,,,,Value per scone,% Daily Values,20,3%,28.1 mg,5%,13.2 g,5%,14.6 mg,5%,108 kcal,8%,5.00 g,0%,0.04 g,0%,0.7 mcg,2%,0.4 mg,2%,9.2 mg,3%,32.1 mg,1%,28.8 mg,3%,1.9 g,2%,45.3 mg,18%,184.5 mcg,1%,0.0 mg,1%,0.0 mg,2%,0.3 mg,0%,0.1 mg,2%,0.1 mg,0%,0.1 mg
Dahi Simla Mirch Ki Sabzi Recipe (Dahiwale Simla Mirch),serving,1 serving,,,,Value serving,% Daily Values,20,8%,75.9 mg,3%,7.9 g,2%,5.2 mg,6%,116 kcal,12%,7.42 g,6%,1.70 g,4%,12.6 mcg,3%,0.5 mg,4%,19.0 mg,7%,70.4 mg,5%,164.9 mg,5%,2.8 g,1%,10.8 mg,32%,320.8 mcg,23%,0.3 mg,3%,0.1 mg,2%,0.3 mg,90%,72.2 mg,3%,0.2 mg,1%,0.2 mg
Baked Whole Wheat Puris,puri,1 puri,,,Baked Whole Wheat Puris,Value per puri,% Daily Values,20,0%,3.1 mg,2%,4.7 g,0%,0.0 mg,1%,28 kcal,1%,0.72 g,3%,0.79 g,1%,2.3 mcg,2%,0.3 mg,2%,8.6 mg,2%,23.1 mg,1%,20.5 mg,1%,0.8 g,0%,1.3 mg,1%,5.6 mcg,2%,0.0 mg,1%,0.0 mg,2%,0.3 mg,0%,0.0 mg,1%,0.1 mg,1%,0.1 mg
Eggless Chocolate Sponge Cake,cake,1 cake,,,Eggless Chocolate Sponge Cake,Value per cake,% Daily Values,20,73%,730.3 mg,91%,251.1 g,42%,125.0 mg,85%,1701 kcal,107%,63.91 g,13%,3.79 g,10%,29.8 mcg,32%,6.1 mg,30%,134.1 mg,27%,271.7 mg,36%,1258.6 mg,64%,38.2 g,37%,734.4 mg,207%,2065.2 mcg,169%,2.4 mg,55%,1.1 mg,32%,4.5 mg,8%,6.2 mg,22%,1.6 mg,23%,3.9 mg
