food_name,serving_type,serving_qty,serving_weight_grams,serving_weight_grams_numeric,serving_phrase,table_value_header,table_daily_value_header,nutrient_count,calcium_daily_value_pct,calcium_value,carbohydrates_daily_value_pct,carbohydrates_value,cholesterol_daily_value_pct,cholesterol_value,energy_daily_value_pct,energy_value,fat_daily_value_pct,fat_value,fiber_daily_value_pct,fiber_value,folic_acid_vitamin_b9_daily_value_pct,folic_acid_vitamin_b9_value,iron_daily_value_pct,iron_value,magnesium_daily_value_pct,magnesium_value,phosphorus_daily_value_pct,phosphorus_value,potassium_daily_value_pct,potassium_value,protein_daily_value_pct,protein_value,sodium_daily_value_pct,sodium_value,vitamin_a_daily_value_pct,vitamin_a_value,vitamin_b1_thiamine_daily_value_pct,vitamin_b1_thiamine_value,vitamin_b2_riboflavin_daily_value_pct,vitamin_b2_riboflavin_value,vitamin_b3_niacin_daily_value_pct,vitamin_b3_niacin_value,vitamin_c_daily_value_pct,vitamin_c_value,vitamin_e_daily_value_pct,vitamin_e_value,zinc_daily_value_pct,zinc_value
Green Pea Pulao Recipe (Peas Pulao),serving,1 serving,,,,Value serving,% Daily Values,20,1%,12.3 mg,11%,30.3 g,0%,0.0 mg,10%,198 kcal,11%,6.70 g,12%,3.63 g,2%,5.4 mcg,4%,0.7 mg,0%,0.0 mg,0%,0.0 mg,1%,31.2 mg,7%,4.2 g,0%,2.4 mg,8%,80.3 mcg,2%,0.0 mg,1%,0.0 mg,5%,0.6 mg,4%,3.3 mg,-10%,-0.7 mg,3%,0.5 mg
serving of Jowar and Vegetable Porridge,serving,250 grams,250 grams,250,serving of Jowar and Vegetable Porridge,Value serving,% Daily Values,20,2%,18.5 mg,6%,17.7 g,0%,0.0 mg,5%,98 kcal,3%,1.69 g,12%,3.46 g,3%,8.9 mcg,6%,1.2 mg,10%,43.0 mg,10%,103.5 mg,2%,59.7 mg,5%,3.1 g,0%,9.1 mg,18%,180.4 mcg,5%,0.1 mg,3%,0.1 mg,6%,0.8 mg,8%,6.7 mg,0%,0.0 mg,2%,0.4 mg
Achaari Paneer Tikkas,serving,1 serving,,,serving of Achaari Paneer Tikkas,Value serving,% Daily Values,20,36%,364.2 mg,2%,6.8 g,3%,8.0 mg,15%,295 kcal,41%,24.42 g,0%,0.00 g,1%,2.8 mcg,1%,0.1 mg,2%,9.5 mg,21%,214.6 mg,1%,45.0 mg,16%,9.4 g,0%,9.5 mg,36%,356.4 mcg,4%,0.1 mg,3%,0.1 mg,0%,0.1 mg,3%,2.2 mg,0%,0.0 mg,0%,0.0 mg
Sweet Potato Roti,roti,1 roti,,,Sweet Potato Roti,Value roti,% Daily Values,20,1%,8.3 mg,3%,9.5 g,0%,0.0 mg,3%,66 kcal,5%,2.72 g,5%,1.55 g,1%,4.0 mcg,3%,0.5 mg,4%,15.9 mg,4%,41.5 mg,2%,57.0 mg,2%,1.4 g,0%,2.8 mg,4%,40.4 mcg,4%,0.1 mg,1%,0.0 mg,4%,0.5 mg,2%,1.7 mg,1%,0.1 mg,1%,0.2 mg
Popcorn,cup,1 cup,,,cup of Popcorn,Value per cup,% Daily Values,20,0%,2.5 mg,6%,16.6 g,5%,13.8 mg,6%,126 kcal,9%,5.36 g,10%,2.98 g,2%,5.0 mcg,3%,0.6 mg,8%,34.8 mg,9%,88.0 mg,2%,72.9 mg,5%,2.8 g,2%,49.4 mg,20%,198.5 mcg,8%,0.1 mg,1%,0.0 mg,3%,0.5 mg,0%,0.0 mg,2%,0.1 mg,4%,0.7 mg
Eggless Chocolate Chip Cookie,cookie,1 cookie,,,Eggless Chocolate Chip Cookie,Value per cookie,% Daily Values,20,1%,14.4 mg,7%,20.5 g,6%,16.9 mg,9%,175 kcal,18%,10.90 g,0%,0.04 g,0%,1.0 mcg,6%,1.1 mg,8%,37.3 mg,7%,67.8 mg,3%,105.5 mg,4%,2.5 g,8%,164.8 mg,22%,220.9 mcg,1%,0.0 mg,2%,0.0 mg,3%,0.4 mg,0%,0.0 mg,2%,0.2 mg,0%,0.1 mg
Curd Rice For Babies And Toddlers Recipe,1/2 cup,1 1/2 cup,,,,Value per 1/2 cup,% Daily Values,20,27%,268.2 mg,17%,47.0 g,6%,19.2 mg,18%,358 kcal,20%,12.10 g,1%,0.36 g,5%,14.6 mcg,4%,0.7 mg,16%,71.2 mg,24%,243.5 mg,5%,163.4 mg,15%,8.9 g,1%,29.9 mg,64%,643.1 mcg,6%,0.1 mg,8%,0.2 mg,8%,1.2 mg,12%,9.3 mg,3%,0.2 mg,4%,0.7 mg
Restaurant Style Vegetable Manchurian Gravy,serving,1 serving,,,serving of Restaurant Style Vegetable Manchurian Gravy,Value serving,% Daily Values,20,7%,70.4 mg,9%,24.8 g,0%,0.0 mg,8%,166 kcal,9%,5.69 g,14%,4.09 g,15%,46.4 mcg,12%,2.2 mg,11%,46.4 mg,20%,201.7 mg,6%,215.5 mg,7%,4.2 g,14%,273.2 mg,62%,620.7 mcg,20%,0.3 mg,8%,0.2 mg,13%,1.8 mg,96%,76.9 mg,3%,0.2 mg,4%,0.6 mg
Healthy Stuffed Luchi Recipe (Non Fried Luchi),luchi,1 luchi,,,,Value luchi,% Daily Values,20,2%,20.1 mg,8%,21.7 g,0%,0.0 mg,7%,137 kcal,5%,2.99 g,5%,1.60 g,9%,27.9 mcg,8%,1.5 mg,0%,0.0 mg,0%,0.0 mg,7%,233.0 mg,10%,5.9 g,0%,7.8 mg,4%,35.2 mcg,11%,0.2 mg,3%,0.1 mg,8%,1.1 mg,0%,0.0 mg,-5%,-0.4 mg,5%,0.8 mg
Healthy Indian Tomato Soup,serving,1 serving,,,serving of Healthy Indian Tomato Soup,Value serving,% Daily Values,20,7%,73.8 mg,4%,10.9 g,0%,0.0 mg,3%,68 kcal,2%,1.21 g,10%,2.96 g,17%,51.3 mcg,6%,1.2 mg,6%,25.3 mg,3%,31.9 mg,9%,299.6 mg,6%,3.3 g,1%,19.5 mg,46%,460.5 mcg,15%,0.2 mg,5%,0.1 mg,5%,0.8 mg,45%,36.3 mg,2%,0.1 mg,2%,0.3 mg
Blueberry Banana Oatmea,serving,1 serving,,,serving of Blueberry Banana Oatmea,Value serving,% Daily Values,20,4%,44.6 mg,18%,50.7 g,0%,0.0 mg,20%,402 kcal,28%,16.77 g,27%,8.18 g,20%,59.0 mcg,35%,6.7 mg,20%,89.1 mg,20%,197.1 mg,16%,576.9 mg,25%,15.1 g,7%,131.9 mg,15%,145.8 mcg,28%,0.4 mg,8%,0.2 mg,7%,1.0 mg,8%,6.7 mg,3%,0.2 mg,13%,2.3 mg
"Cabbage Stir Fry, Patta Gobi Stir Fry",serving,1 serving,,,"serving of Cabbage Stir Fry, Patta Gobi Stir Fry",Value serving,% Daily Values,20,3%,27.3 mg,1%,3.6 g,0%,0.0 mg,5%,109 kcal,16%,9.86 g,8%,2.54 g,5%,15.8 mcg,3%,0.6 mg,5%,21.2 mg,4%,41.3 mg,4%,128.0 mg,2%,1.4 g,1%,13.0 mg,25%,245.1 mcg,3%,0.0 mg,3%,0.1 mg,2%,0.3 mg,98%,78.5 mg,2%,0.2 mg,1%,0.3 mg
tablespoon of Ridge Gourd Chutney,tbsp,1 tbsp,,,tablespoon of Ridge Gourd Chutney,Value per tbsp,% Daily Values,20,10%,98.5 mg,8%,22.2 g,0%,0.0 mg,21%,421 kcal,56%,33.36 g,33%,9.80 g,19%,58.1 mcg,12%,2.3 mg,15%,67.6 mg,19%,194.2 mg,11%,399.8 mg,13%,8.0 g,2%,41.0 mg,253%,2526.2 mcg,10%,0.1 mg,5%,0.1 mg,8%,1.1 mg,61%,49.1 mg,12%,0.9 mg,7%,1.2 mg
