source_page_number,recipe_url,list_title
4,https://www.tarladalal.com/calories-for-Kala-Chana-Subzi-Maharashtrian-Recipe-42514,Calories In Kala Chana Subzi – Nutrition Facts & Health Analysis
4,https://www.tarladalal.com/calories-for-Gujarati-Style-Urad-Dal-Recipe-42231,Calories In Gujarati Style Urad Dal Recipe – Nutrition Facts & Health Analysis
4,https://www.tarladalal.com/calories-for-Coconut-Rice-South-Indian-Coconut-Rice-32890,Calories In Coconut Rice – Nutrition Facts & Health Analysis
4,https://www.tarladalal.com/calories-for-Sev-2791,Calories In Sev – Nutrition Facts & Health Analysis
4,https://www.tarladalal.com/calories-for-Quick-Idiyappam-40199,Calories In Quick Idiyappam – Nutrition Facts & Health Analysis
4,https://www.tarladalal.com/calories-for-Lemon-Rice--South-Indian-Recipes--32891,Calories In Lemon Rice – Nutrition Facts & Health Analysis
4,https://www.tarladalal.com/calories-for-Methi-Paratha-41171,Calories In Methi Paratha – Nutrition Facts & Health Analysis
4,https://www.tarladalal.com/calories-for-How-To-Make-Homemade-White-Butter-Safed-Makhan-Recipe-42484,Calories In How To Make Homemade White Butter – Nutrition Facts & Health Analysis
4,https://www.tarladalal.com/calories-for-Misal-Pav-Or-How-To-Make-Misal-Pav-37212,Calories In Misal Pav Or How To Make Misal Pav – Nutrition Facts & Health Analysis
4,https://www.tarladalal.com/calories-for-Wheat-Dosa-Godhuma-Dosa-Recipe-22272,Calories In Wheat Dosa – Nutrition Facts & Health Analysis
4,https://www.tarladalal.com/calories-for-Arbi-ki-Sabzi-22804,Calories In Arbi Ki Sabzi – Nutrition Facts & Health Analysis
4,https://www.tarladalal.com/calories-for-Sambar-Rice-Sambar-Sadam-42181,Calories In Sambar Rice – Nutrition Facts & Health Analysis
4,https://www.tarladalal.com/calories-for-Adai-Recipe-Adai-Dosa-Breakfast-534,Calories In Adai Recipe – Nutrition Facts & Health Analysis
4,https://www.tarladalal.com/calories-for-Masala-Omelette-40756,Calories In Masala Omelette – Nutrition Facts & Health Analysis
4,https://www.tarladalal.com/calories-for-Kala-Chana-Sundal-Sundal-Recipe-32816,Calories In Kala Chana Sundal – Nutrition Facts & Health Analysis
4,https://www.tarladalal.com/calories-for-Moong-Dal-Halwa-3914,Calories In Moong Dal Halwa – Nutrition Facts & Health Analysis
4,https://www.tarladalal.com/calories-for-Meetha-Paan-42572,Calories In Meetha Paan – Nutrition Facts & Health Analysis
4,https://www.tarladalal.com/calories-for-Paneer-Butter-Masala-38973,Calories In Paneer Butter Masala – Nutrition Facts & Health Analysis
4,https://www.tarladalal.com/calories-for-Chinese-Egg--Fried-Rice-2618,Calories In Chinese Egg- Fried Rice – Nutrition Facts & Health Analysis
4,https://www.tarladalal.com/calories-for-Black-Forest-Cake-2276,Calories In Black Forest Cake – Nutrition Facts & Health Analysis
